airport,terminal,date,hour,us_avg_wait,us_max_wait,non_us_avg_wait,non_us_max_wait,all_avg_wait,all_max_wait,all_n_0..15,all_n_16..30,all_n_31..45,all_n_46..60,all_n_61..90,all_n_91..120,all_n_120..,all_excluded,all_total,all_flights,all_booths
ORD,Terminal 5,1/1/2018,0000 - 0100,4,14,7,15,5,15,145,0,0,0,0,0,0,5,150,1,8
ORD,Terminal 5,1/1/2018,0500 - 0600,9,21,13,21,10,21,122,25,0,0,0,0,0,9,156,1,8
ORD,Terminal 5,1/1/2018,0600 - 0700,9,30,16,31,13,31,192,101,5,0,0,0,0,15,313,1,17
ORD,Terminal 5,1/1/2018,0700 - 0800,6,23,12,31,10,31,345,77,5,0,0,0,0,14,441,2,15
ORD,Terminal 5,1/1/2018,0800 - 0900,5,20,13,27,12,27,122,80,0,0,0,0,0,5,207,1,13
ORD,Terminal 5,1/1/2018,0900 - 1000,18,34,16,34,17,34,171,274,21,0,0,0,0,20,486,2,13
ORD,Terminal 5,1/1/2018,1000 - 1100,11,25,9,25,11,25,140,100,0,0,0,0,0,13,253,3,12
ORD,Terminal 5,1/1/2018,1100 - 1200,6,31,27,57,16,57,596,140,171,58,0,0,0,40,1005,5,21
ORD,Terminal 5,1/1/2018,1200 - 1300,16,52,25,54,19,54,526,718,224,25,0,0,0,56,1549,8,26
ORD,Terminal 5,1/1/2018,1300 - 1400,23,46,25,48,24,48,220,740,312,5,0,0,0,58,1335,6,16
ORD,Terminal 5,1/1/2018,1400 - 1500,14,67,29,87,20,87,1146,564,335,117,65,0,0,86,2313,9,25
ORD,Terminal 5,1/1/2018,1500 - 1600,17,79,34,82,22,82,820,288,112,114,158,0,0,66,1558,8,25
ORD,Terminal 5,1/1/2018,1600 - 1700,23,54,25,82,23,82,345,570,343,50,20,0,0,57,1385,7,27
ORD,Terminal 5,1/1/2018,1700 - 1800,26,90,17,48,24,90,670,234,292,35,121,0,0,62,1414,8,26
ORD,Terminal 5,1/1/2018,1800 - 1900,31,96,39,97,34,97,376,95,0,0,232,8,0,40,751,6,19
ORD,Terminal 5,1/1/2018,1900 - 2000,15,31,11,31,14,31,78,130,2,0,0,0,0,11,221,4,16
