Rank,Team,S,W-L,Aces,Per Set
1,UMES (MEAC),127,12-19,263,2.07
2,Coastal Carolina (Sun Belt),116,24-6,231,1.99
3,Kennesaw St. (ASUN),112,22-8,223,1.99
4,American (Patriot),115,24-7,226,1.97
5,Cal Poly (Big West),102,20-8,197,1.93
6,Western Ky. (C-USA),110,31-1,211,1.92
7,UNLV (Mountain West),121,19-10,227,1.88
8,Delaware St. (MEAC),110,11-18,201,1.83
9,Fresno St. (Mountain West),104,14-16,190,1.83
10,Coppin St. (MEAC),114,13-18,205,1.80
11,Cincinnati (AAC),111,25-6,198,1.78
12,UTSA (C-USA),108,16-13,191,1.77
13,Denver (Summit League),114,23-8,200,1.75
14,Creighton (Big East),99,24-5,173,1.75
15,Fairfield (MAAC),107,24-5,186,1.74
16,High Point (Big South),114,20-12,198,1.74
17,UAB (C-USA),98,12-15,170,1.73
18,Navy (Patriot),111,17-12,192,1.73
19,ETSU (SoCon),122,25-6,207,1.70
20,Morgan St. (MEAC),114,17-13,193,1.69
21,Wofford (SoCon),116,15-16,196,1.69
22,Pepperdine (WCC),114,18-11,192,1.68
23,Missouri (SEC),104,21-7,175,1.68
24,Southeast Mo. St. (OVC),126,23-10,212,1.68
25,Howard (MEAC),118,20-12,197,1.67
26,Portland (WCC),107,11-18,178,1.66
26,Robert Morris (NEC),107,25-5,178,1.66
28,N.C. Central (MEAC),123,8-24,204,1.66
29,Marquette (Big East),115,27-5,190,1.65
30,Presbyterian (Big South),103,15-15,170,1.65
31,Wisconsin (Big Ten),97,22-6,160,1.65
32,Campbell (Big South),108,17-13,178,1.65
33,Colorado St. (Mountain West),105,29-1,173,1.65
34,Saint Louis (Atlantic 10),112,17-12,184,1.64
35,Northern Colo. (Big Sky),128,26-7,209,1.63
36,New Hampshire (America East),98,17-9,160,1.63
37,McNeese (Southland),106,11-17,171,1.61
38,Northern Ariz. (Big Sky),124,21-11,200,1.61
39,Omaha (Summit League),129,19-14,208,1.61
40,Texas (Big 12),85,21-3,137,1.61
41,Weber St. (Big Sky),119,24-8,190,1.60
42,The Citadel (SoCon),111,9-20,177,1.59
43,Florida A&M (MEAC),106,9-18,169,1.59
44,Santa Clara (WCC),115,20-11,183,1.59
45,Gonzaga (WCC),110,11-19,175,1.59
46,George Washington (Atlantic 10),100,15-14,159,1.59
47,UNCW (CAA),117,14-15,185,1.58
