Rank,Team,S,W-L,Assists,Per Set
1,Cincinnati (AAC),111,25-6,"1,596",14.38
2,Marquette (Big East),115,27-5,"1,628",14.16
3,Stanford (Pac-12),100,24-4,"1,379",13.79
4,Pittsburgh (ACC),103,29-1,"1,418",13.77
5,Wisconsin (Big Ten),97,22-6,"1,334",13.75
6,Princeton (Ivy League),87,17-7,"1,187",13.64
7,Baylor (Big 12),86,25-1,"1,172",13.63
8,Morehead St. (OVC),115,23-9,"1,555",13.52
9,Kennesaw St. (ASUN),112,22-8,"1,511",13.49
10,UNI (MVC),126,24-10,"1,698",13.48
11,South Dakota (Summit League),104,27-2,"1,401",13.47
12,Milwaukee (Horizon),119,26-6,"1,602",13.46
13,Rice (C-USA),101,26-3,"1,357",13.44
14,Kentucky (SEC),104,23-6,"1,395",13.41
15,Towson (CAA),103,28-2,"1,379",13.39
16,SMU (AAC),106,18-10,"1,419",13.39
17,Missouri (SEC),104,21-7,"1,392",13.38
18,UCF (AAC),114,24-7,"1,506",13.21
19,UCLA (Pac-12),96,18-11,"1,258",13.10
20,Georgia Tech (ACC),106,21-8,"1,388",13.09
21,Creighton (Big East),99,24-5,"1,296",13.09
22,Minnesota (Big Ten),95,22-5,"1,241",13.06
23,San Diego (WCC),105,24-5,"1,369",13.04
24,Texas (Big 12),85,21-3,"1,105",13.00
25,Northern Colo. (Big Sky),128,26-7,"1,662",12.98
26,Illinois St. (MVC),129,22-11,"1,674",12.98
27,Utah (Pac-12),124,22-9,"1,609",12.98
28,Georgia (SEC),107,20-9,"1,385",12.94
29,Penn St. (Big Ten),98,24-4,"1,267",12.93
30,Murray St. (OVC),114,19-11,"1,471",12.90
31,UC Santa Barbara (Big West),98,22-5,"1,264",12.90
32,Michigan (Big Ten),112,20-10,"1,444",12.89
33,La Salle (Atlantic 10),105,15-13,"1,352",12.88
34,Colorado St. (Mountain West),105,29-1,"1,350",12.86
35,Fla. Atlantic (C-USA),100,16-11,"1,285",12.85
36,Cornell (Ivy League),86,17-6,"1,105",12.85
37,Kent St. (MAC),113,14-15,"1,446",12.80
37,Troy (Sun Belt),113,22-9,"1,446",12.80
39,Fairfield (MAAC),107,24-5,"1,368",12.79
40,Nebraska (Big Ten),106,25-4,"1,354",12.77
41,St. John's (NY) (Big East),115,22-11,"1,468",12.77
42,Loyola Maryland (Patriot),122,13-18,"1,555",12.75
43,Ball St. (MAC),123,20-11,"1,567",12.74
44,Jacksonville St. (OVC),106,20-10,"1,350",12.74
45,Illinois (Big Ten),113,16-13,"1,436",12.71
46,FGCU (ASUN),108,27-5,"1,370",12.69
47,Omaha (Summit League),129,19-14,"1,635",12.67
48,Western Ky. (C-USA),110,31-1,"1,393",12.66
49,Columbia (Ivy League),93,12-12,"1,173",12.61
50,Northern Ky. (Horizon),120,19-12,"1,512",12.60
50,New Mexico St. (WAC),105,27-3,"1,323",12.60
52,Kansas City (WAC),107,17-11,"1,347",12.59
53,Central Mich. (MAC),109,21-8,"1,371",12.58
54,Green Bay (Horizon),114,21-9,"1,432",12.56
55,California (Pac-12),113,20-10,"1,418",12.55
56,Eastern Mich. (MAC),106,11-17,"1,324",12.49
57,Iowa St. (Big 12),104,17-11,"1,299",12.49
58,Long Beach St. (Big West),105,12-16,"1,311",12.49
59,Northwestern St. (Southland),116,20-12,"1,446",12.47
60,Pepperdine (WCC),114,18-11,"1,419",12.45
61,Wright St. (Horizon),108,24-5,"1,344",12.44
62,Loyola Chicago (MVC),124,21-11,"1,543",12.44
63,Washington (Pac-12),114,24-5,"1,417",12.43
64,San Diego St. (Mountain West),110,15-14,"1,364",12.40
65,Ohio St. (Big Ten),114,15-17,"1,413",12.39
66,ETSU (SoCon),122,25-6,"1,512",12.39
67,UTSA (C-USA),108,16-13,"1,337",12.38
68,Sam Houston St. (Southland),127,18-13,"1,572",12.38
69,Florida (SEC),106,25-4,"1,312",12.38
70,Tennessee (SEC),108,15-13,"1,336",12.37
71,Miami (OH) (MAC),103,17-11,"1,274",12.37
72,Ohio (MAC),119,18-13,"1,470",12.35
73,Coastal Carolina (Sun Belt),116,24-6,"1,431",12.34
73,Army West Point (Patriot),116,22-10,"1,431",12.34
75,Hawaii (Big West),104,24-3,"1,282",12.33
76,Liberty (ASUN),109,19-11,"1,343",12.32
77,Weber St. (Big Sky),119,24-8,"1,466",12.32
78,LMU (CA) (WCC),110,14-15,"1,355",12.32
79,Lipscomb (ASUN),105,16-13,"1,293",12.31
80,Central Ark. (Southland),124,16-14,"1,525",12.30
81,Northeastern (CAA),108,15-14,"1,328",12.30
82,Winthrop (Big South),106,24-4,"1,302",12.28
83,Texas A&M (SEC),110,21-7,"1,351",12.28
84,Evansville (MVC),117,16-14,"1,436",12.27
85,Sacred Heart (NEC),117,20-11,"1,432",12.24
86,DePaul (Big East),121,14-16,"1,480",12.23
87,Boston College (ACC),124,20-11,"1,516",12.23
88,Texas Tech (Big 12),116,17-13,"1,418",12.22
89,Hofstra (CAA),111,17-12,"1,354",12.20
90,Samford (SoCon),115,24-5,"1,402",12.19
91,UNLV (Mountain West),121,19-10,"1,475",12.19
92,Notre Dame (ACC),112,19-9,"1,365",12.19
93,Oregon (Pac-12),113,9-20,"1,373",12.15
94,A&M-Corpus Christi (Southland),117,19-12,"1,421",12.15
95,VCU (Atlantic 10),108,24-6,"1,311",12.14
96,North Florida (ASUN),126,15-18,"1,529",12.13
97,UT Arlington (Sun Belt),118,18-13,"1,431",12.13
