playerID,birthYear,deathYear,nameFirst,nameLast,bats,throws,debut,finalGame
aardsda01,1981,NA,David,Aardsma,R,R,2004-04-06,2015-08-23
aaronha01,1934,NA,Hank,Aaron,R,R,1954-04-13,1976-10-03
aaronto01,1939,1984,Tommie,Aaron,R,R,1962-04-10,1971-09-26
aasedo01,1954,NA,Don,Aase,R,R,1977-07-26,1990-10-03
abadan01,1972,NA,Andy,Abad,L,L,2001-09-10,2006-04-13
abadfe01,1985,NA,Fernando,Abad,L,L,2010-07-28,2019-09-28
abadijo01,1850,1905,John,Abadie,R,R,1875-04-26,1875-06-10
abbated01,1877,1957,Ed,Abbaticchio,R,R,1897-09-04,1910-09-15
abbeybe01,1869,1962,Bert,Abbey,R,R,1892-06-14,1896-09-23
abbeych01,1866,1926,Charlie,Abbey,L,L,1893-08-16,1897-08-19
abbotda01,1862,1930,Dan,Abbott,R,R,1890-04-19,1890-05-23
abbotfr01,1874,1935,Fred,Abbott,R,R,1903-04-25,1905-09-20
abbotgl01,1951,NA,Glenn,Abbott,R,R,1973-07-29,1984-08-08
abbotje01,1972,NA,Jeff,Abbott,R,L,1997-06-10,2001-09-29
abbotji01,1967,NA,Jim,Abbott,L,L,1989-04-08,1999-07-21
abbotku01,1969,NA,Kurt,Abbott,R,R,1993-09-07,2001-04-13
abbotky01,1968,NA,Kyle,Abbott,L,L,1991-09-10,1996-08-24
abbotod01,1886,1933,Ody,Abbott,L,R,1910-09-10,1910-10-15
abbotpa01,1967,NA,Paul,Abbott,R,R,1990-08-21,2004-08-07
aberal01,1927,1993,Al,Aber,L,L,1950-09-15,1957-09-11
abercda01,1850,1939,Frank,Abercrombie,NA,NA,1871-10-21,1871-10-21
abercre01,1980,NA,Reggie,Abercrombie,R,R,2006-04-04,2008-09-28
abernbi01,1929,2006,Bill,Abernathie,R,R,1952-09-27,1952-09-27
abernbr01,1977,NA,Brent,Abernathy,R,R,2001-06-25,2005-09-29
abernte01,1921,2001,Ted,Abernathy,R,L,1942-09-19,1944-04-29
abernte02,1933,2004,Ted,Abernathy,R,R,1955-04-13,1972-09-30
abernwo01,1915,1994,Woody,Abernathy,L,L,1946-07-28,1947-04-17
aberscl01,1921,1973,Cliff,Aberson,R,R,1947-07-18,1949-05-09
ablesha01,1883,1951,Harry,Ables,R,L,1905-09-02,1911-05-05
abnersh01,1966,NA,Shawn,Abner,R,R,1987-09-08,1992-10-03
abramca01,1924,1997,Cal,Abrams,L,L,1949-04-19,1956-05-09
abramge01,1899,1986,George,Abrams,R,R,1923-04-19,1923-05-04
abregjo01,1962,NA,Johnny,Abrego,R,R,1985-09-04,1985-10-03
abreual01,1995,NA,Albert,Abreu,R,R,2020-08-08,2020-09-03
abreubo01,1974,NA,Bobby,Abreu,L,R,1996-09-01,2014-09-28
abreubr01,1997,NA,Bryan,Abreu,R,R,2019-07-31,2020-08-04
abreujo01,1913,1993,Joe,Abreu,R,R,1942-04-23,1942-07-11
abreujo02,1987,NA,José,Abreu,R,R,2014-03-31,2020-09-27
abreuju01,1985,NA,Juan,Abreu,R,R,2011-08-29,2011-09-27
abreuto01,1984,NA,Tony,Abreu,B,R,2007-05-22,2014-07-28
abreuwi01,1977,NA,Winston,Abreu,R,R,2006-08-06,2009-07-25
abstebi01,1883,1940,Bill,Abstein,R,R,1906-09-25,1910-06-02
accarje01,1981,NA,Jeremy,Accardo,R,R,2005-05-04,2012-09-27
aceveal01,1982,NA,Alfredo,Aceves,R,R,2008-08-31,2014-06-02
acevejo01,1977,NA,Jose,Acevedo,R,R,2001-06-19,2005-09-29
aceveju01,1970,NA,Juan,Acevedo,R,R,1995-04-30,2003-08-05
achteaj01,1988,NA,A. J.,Achter,R,R,2014-09-03,2016-10-01
ackerji01,1958,NA,Jim,Acker,R,R,1983-04-07,1992-06-14
ackerto01,1930,NA,Tom,Acker,R,R,1956-04-20,1959-09-20
ackledu01,1988,NA,Dustin,Ackley,L,R,2011-06-17,2016-05-29
acklefr01,1937,2002,Fritz,Ackley,L,R,1963-09-21,1964-05-09
acostcy01,1946,NA,Cy,Acosta,R,R,1972-06-04,1975-05-05
acosted01,1944,NA,Ed,Acosta,B,R,1970-09-07,1972-10-04
acostjo01,1891,1977,José,Acosta,R,R,1920-07-28,1922-05-12
acostma01,1981,NA,Manny,Acosta,R,R,2007-08-12,2012-10-03
acostme01,1896,1963,Merito,Acosta,L,L,1913-06-05,1918-09-02
acrema01,1968,NA,Mark,Acre,R,R,1994-05-13,1997-05-10
actama99,1969,NA,Manny,Acta,R,R,NA,NA
acunaro01,1997,NA,Ronald,Acuna,R,R,2018-04-25,2020-09-26
adairbi99,1913,2002,Bill,Adair,R,R,NA,NA
adairje01,1936,1987,Jerry,Adair,R,R,1958-09-02,1970-05-03
adairji01,1907,1982,Jimmy,Adair,R,R,1931-08-24,1931-09-07
adamecr01,1991,NA,Cristhian,Adames,B,R,2014-07-29,2019-09-29
adamewi01,1995,NA,Willy,Adames,R,R,2018-05-22,2020-09-26
adamja01,1991,NA,Jason,Adam,R,R,2018-05-05,2020-09-26
adamsac01,1910,2006,Ace,Adams,R,R,1941-04-15,1946-04-24
adamsau01,1986,NA,Austin,Adams,R,R,2014-07-12,2019-07-06
adamsau02,1991,NA,Austin,Adams,R,R,2017-07-15,2020-09-27
adamsba01,1882,1968,Babe,Adams,L,R,1906-04-18,1926-08-11
adamsbe01,1891,1940,Bert,Adams,B,R,1910-08-30,1919-09-28
adamsbo01,1901,1996,Bob,Adams,R,R,1925-09-22,1925-09-23
adamsbo02,1907,1970,Bob,Adams,R,R,1931-09-27,1932-09-17
adamsbo03,1921,1997,Bobby,Adams,R,R,1946-04-16,1959-04-22
adamsbo04,1952,NA,Bob,Adams,R,R,1977-07-10,1977-09-29
adamsbu01,1915,1990,Buster,Adams,R,R,1939-04-27,1947-09-21
adamsch01,1994,NA,Chance,Adams,R,R,2018-08-04,2020-09-22
adamsda01,1887,1964,Dan,Adams,R,R,1914-05-22,1915-09-26
adamsda02,1987,NA,David,Adams,R,R,2013-05-15,2013-09-29
adamsdi01,1920,2016,Dick,Adams,R,L,1947-05-20,1947-09-28
adamsdo01,1943,NA,Doug,Adams,L,R,1969-09-08,1969-10-01
adamsge01,1855,1920,George,Adams,R,R,1879-06-14,1879-06-21
adamsgl01,1947,NA,Glenn,Adams,L,R,1975-05-04,1982-10-03
adamshe01,1928,2012,Herb,Adams,L,L,1948-09-17,1950-08-30
adamsji01,1868,NA,Jim,Adams,NA,R,1890-04-21,1890-04-21
adamsjo01,1877,1952,Joe,Adams,R,L,1902-04-26,1902-04-26
adamsjo02,1971,NA,Joel,Adamson,L,L,1996-04-10,1998-04-26
adamska01,1891,1967,Karl,Adams,R,R,1914-04-19,1915-09-23
adamsla01,1989,NA,Lane,Adams,R,R,2014-09-01,2018-09-30
adamsma01,1988,NA,Matt,Adams,L,R,2012-05-20,2020-08-29
adamsmi01,1947,NA,Mike,Adamson,R,R,1967-07-01,1969-05-07
