Rank,Team,S,W-L,Block Solos,Block Assists,Per Set
1,VCU (Atlantic 10),108,24-6,49,597,3.22
2,Florida St. (ACC),100,19-9,49,502,3.00
3,UCF (AAC),114,24-7,50,575,2.96
4,Colorado St. (Mountain West),105,29-1,72,477,2.96
5,James Madison (CAA),93,20-8,67,412,2.94
6,Boise St. (Mountain West),107,18-11,41,546,2.93
7,New Mexico St. (WAC),105,27-3,65,485,2.93
8,Stanford (Pac-12),100,24-4,28,513,2.85
9,SFA (Southland),111,31-1,71,489,2.84
10,Minnesota (Big Ten),95,22-5,46,441,2.81
11,Marshall (C-USA),101,18-10,63,440,2.80
12,Robert Morris (NEC),107,25-5,51,496,2.79
13,Purdue (Big Ten),111,22-7,56,503,2.77
14,Washington (Pac-12),114,24-5,56,511,2.73
15,Albany (NY) (America East),96,16-10,52,418,2.72
16,FGCU (ASUN),108,27-5,66,450,2.69
17,Texas (Big 12),85,21-3,32,394,2.69
18,Towson (CAA),103,28-2,23,506,2.68
19,North Carolina (ACC),107,15-13,46,481,2.68
20,Santa Clara (WCC),115,20-11,28,555,2.66
21,Louisville (ACC),105,19-9,65,426,2.65
22,Liberty (ASUN),109,19-11,34,509,2.65
23,Southern California (Pac-12),126,17-13,46,572,2.63
24,Idaho (Big Sky),124,13-18,81,490,2.63
25,Michigan St. (Big Ten),110,15-15,66,446,2.63
26,Hawaii (Big West),104,24-3,59,427,2.62
27,Washington St. (Pac-12),114,22-9,66,462,2.61
28,Weber St. (Big Sky),119,24-8,51,518,2.61
29,BYU (WCC),106,25-4,30,492,2.60
30,Saint Mary's (CA) (WCC),106,11-17,45,460,2.59
31,Utah (Pac-12),124,22-9,50,543,2.59
32,Utah St. (Mountain West),108,2-28,46,466,2.58
33,Baylor (Big 12),86,25-1,34,376,2.58
34,Florida (SEC),106,25-4,77,392,2.58
35,Tulane (AAC),123,21-10,43,542,2.55
36,Northern Ky. (Horizon),120,19-12,43,521,2.53
37,Utah Valley (WAC),113,11-19,29,513,2.53
38,George Washington (Atlantic 10),100,15-14,32,439,2.52
39,Charlotte (C-USA),112,16-15,66,429,2.50
40,Wisconsin (Big Ten),97,22-6,24,434,2.48
41,Maryland (Big Ten),127,13-19,36,559,2.48
42,South Carolina (SEC),106,19-11,62,402,2.48
43,Montana St. (Big Sky),112,15-14,55,445,2.48
44,Kansas (Big 12),96,9-17,60,355,2.47
45,Pittsburgh (ACC),103,29-1,29,451,2.47
46,LSU (SEC),102,15-13,61,382,2.47
47,Wyoming (Mountain West),111,21-8,61,426,2.47
48,UC Santa Barbara (Big West),98,22-5,49,384,2.46
49,UIC (Horizon),116,20-11,60,450,2.46
50,Kentucky (SEC),104,23-6,52,407,2.46
51,Oklahoma (Big 12),108,19-8,47,434,2.44
52,South Dakota (Summit League),104,27-2,38,430,2.43
53,Lehigh (Patriot),109,14-17,73,383,2.43
54,Dayton (Atlantic 10),111,22-8,35,468,2.42
55,Wright St. (Horizon),108,24-5,57,408,2.42
56,Army West Point (Patriot),116,22-10,67,425,2.41
57,Radford (Big South),95,10-16,34,387,2.39
58,New Hampshire (America East),98,17-9,30,409,2.39
59,Grand Canyon (WAC),116,24-6,77,401,2.39
60,New Mexico (Mountain West),115,11-19,46,458,2.39
61,USC Upstate (Big South),101,7-19,49,385,2.39
62,Southeast Mo. St. (OVC),126,23-10,60,478,2.37
63,Nebraska (Big Ten),106,25-4,47,407,2.36
64,Texas A&M (SEC),110,21-7,39,440,2.35
65,Penn St. (Big Ten),98,24-4,60,341,2.35
66,Colgate (Patriot),111,22-7,76,370,2.35
67,Cleveland St. (Horizon),108,8-19,66,374,2.34
68,Virginia (ACC),107,13-18,49,402,2.34
69,SIUE (OVC),112,14-15,66,391,2.33
70,Illinois St. (MVC),129,22-11,38,526,2.33
71,Alabama (SEC),105,12-17,68,352,2.32
72,Rutgers (Big Ten),105,8-23,37,412,2.31
73,Loyola Chicago (MVC),124,21-11,79,415,2.31
74,Duke (ACC),110,11-19,28,450,2.30
75,Syracuse (ACC),91,11-13,42,333,2.29
76,Xavier (Big East),99,10-17,46,361,2.29
77,Indiana (Big Ten),126,14-19,100,373,2.27
78,Ohio (MAC),119,18-13,82,377,2.27
79,Coastal Carolina (Sun Belt),116,24-6,87,352,2.27
80,Butler (Big East),115,14-16,47,427,2.27
81,Colorado (Pac-12),106,13-17,50,379,2.26
82,Oakland (Horizon),108,15-14,58,371,2.25
83,William & Mary (CAA),97,7-20,51,334,2.25
84,Nevada (Mountain West),114,17-13,28,454,2.24
85,UT Martin (OVC),118,13-19,39,446,2.22
86,Notre Dame (ACC),112,19-9,37,422,2.21
87,Denver (Summit League),114,23-8,42,420,2.21
88,Charleston So. (Big South),103,14-15,57,340,2.20
89,Mississippi St. (SEC),114,13-17,92,318,2.20
90,Ole Miss (SEC),117,14-15,63,389,2.20
91,Pepperdine (WCC),114,18-11,41,418,2.19
92,Western Ill. (Summit League),107,6-23,50,369,2.19
93,Tulsa (AAC),115,15-15,56,392,2.19
93,Samford (SoCon),115,24-5,75,354,2.19
95,Western Ky. (C-USA),110,31-1,75,332,2.19
96,Georgia St. (Sun Belt),105,10-17,59,342,2.19
97,Houston (AAC),137,16-16,104,392,2.19
98,Northwestern (Big Ten),118,14-18,91,333,2.18
99,Iowa St. (Big 12),104,17-11,31,391,2.18
100,UCLA (Pac-12),96,18-11,64,290,2.18
101,Green Bay (Horizon),114,21-9,23,450,2.18
102,San Diego (WCC),105,24-5,57,342,2.17
103,Fla. Atlantic (C-USA),100,16-11,62,310,2.17
104,St. John's (NY) (Big East),115,22-11,58,382,2.17
105,N.C. A&T (MEAC),112,16-14,53,379,2.17
106,Winthrop (Big South),106,24-4,61,336,2.16
107,Dartmouth (Ivy League),89,10-15,44,296,2.16
108,SMU (AAC),106,18-10,44,369,2.16
109,Purdue Fort Wayne (Summit League),124,18-14,54,426,2.15
110,Creighton (Big East),99,24-5,37,352,2.15
111,UTEP (C-USA),106,13-15,48,360,2.15
112,Fairfield (MAAC),107,24-5,44,372,2.15
113,UNCW (CAA),117,14-15,37,428,2.15
114,Rider (MAAC),115,15-16,33,427,2.14
115,Oregon (Pac-12),113,9-20,49,385,2.14
116,Northern Ariz. (Big Sky),124,21-11,58,414,2.14
117,Fordham (Atlantic 10),106,12-14,37,379,2.14
118,Villanova (Big East),112,22-9,64,350,2.13
119,Wichita St. (AAC),105,9-19,43,362,2.13
120,Gardner-Webb (Big South),84,3-22,48,262,2.13
121,Buffalo (MAC),119,13-17,61,385,2.13
122,ETSU (SoCon),122,25-6,65,388,2.12
123,Seattle U (WAC),120,13-18,42,425,2.12
124,Oregon St. (Pac-12),122,9-22,68,381,2.12
125,San Diego St. (Mountain West),110,15-14,53,360,2.12
126,Col. of Charleston (CAA),102,7-21,44,344,2.12
127,Bowling Green (MAC),120,19-12,58,392,2.12
128,Texas St. (Sun Belt),114,24-8,38,406,2.11
129,Tennessee (SEC),108,15-13,41,374,2.11
130,Bradley (MVC),119,15-15,34,434,2.11
131,North Texas (C-USA),109,17-11,45,369,2.11
132,Wake Forest (ACC),105,14-15,39,364,2.10
133,George Mason (Atlantic 10),97,4-22,41,326,2.10
134,Abilene Christian (Southland),93,7-19,24,343,2.10
135,Missouri (SEC),104,21-7,68,301,2.10
136,CSU Bakersfield (WAC),114,9-19,30,419,2.10
137,California (Pac-12),113,20-10,54,366,2.10
138,Furman (SoCon),109,7-20,88,281,2.10
139,Cal Poly (Big West),102,20-8,54,319,2.09
140,Illinois (Big Ten),113,16-13,38,397,2.09
141,Portland St. (Big Sky),111,10-19,38,388,2.09
142,American (Patriot),115,24-7,55,370,2.09
143,Miami (OH) (MAC),103,17-11,70,288,2.08
144,Valparaiso (MVC),127,14-20,57,412,2.07
145,Eastern Mich. (MAC),106,11-17,45,349,2.07
146,Brown (Ivy League),87,13-10,17,326,2.07
146,Arkansas St. (Sun Belt),116,17-13,78,324,2.07
146,Texas Tech (Big 12),116,17-13,74,332,2.07
149,UTRGV (WAC),117,14-17,51,381,2.06
150,Cornell (Ivy League),86,17-6,35,285,2.06
151,Central Conn. St. (NEC),117,15-15,62,358,2.06
152,Montana (Big Sky),112,7-23,51,359,2.06
153,Canisius (MAAC),123,15-16,29,448,2.06
154,West Virginia (Big 12),108,12-17,38,368,2.06
155,Sacramento St. (Big Sky),130,14-18,51,432,2.05
156,Wofford (SoCon),116,15-16,101,274,2.05
157,Harvard (Ivy League),88,5-18,30,301,2.05
158,Missouri St. (MVC),125,10-22,31,450,2.05
159,IUPUI (Horizon),115,7-22,57,357,2.05
160,NC State (ACC),123,11-19,57,389,2.04
161,UConn (AAC),104,12-16,65,295,2.04
162,Long Beach St. (Big West),105,12-16,44,341,2.04
163,San Francisco (WCC),108,8-21,42,357,2.04
164,UMBC (America East),88,7-16,27,305,2.04
165,High Point (Big South),114,20-12,45,375,2.04
166,Idaho St. (Big Sky),115,7-23,38,393,2.04
167,Fresno St. (Mountain West),104,14-16,34,356,2.04
168,Tennessee Tech (OVC),112,13-17,64,327,2.03
169,Louisiana Tech (C-USA),103,13-15,61,296,2.03
170,Boston College (ACC),124,20-11,54,395,2.03
171,St. Francis Brooklyn (NEC),119,14-17,24,434,2.03
172,CSUN (Big West),108,12-16,60,317,2.02
173,UMES (MEAC),127,12-19,43,427,2.02
174,Clemson (ACC),104,11-17,43,334,2.02
175,Sacred Heart (NEC),117,20-11,45,382,2.02
176,Drake (MVC),125,9-22,38,428,2.02
177,Delaware (CAA),104,15-14,30,359,2.01
178,Kansas City (WAC),107,17-11,39,353,2.01
179,Hampton (Big South),95,8-17,33,316,2.01
180,Southeastern La. (Southland),118,14-17,91,292,2.01
181,TCU (Big 12),93,9-17,23,326,2.00
181,Kansas St. (Big 12),113,9-19,26,400,2.00
183,Houston Baptist (Southland),118,17-15,32,407,2.00
184,Jacksonville St. (OVC),106,20-10,64,295,2.00
184,McNeese (Southland),106,11-17,65,293,2.00
186,Arizona (Pac-12),117,15-17,79,308,1.99
187,UC Davis (Big West),108,17-12,52,325,1.99
188,UT Arlington (Sun Belt),118,18-13,51,366,1.98
189,Elon (CAA),129,14-18,40,429,1.97
190,Hartford (America East),109,16-13,55,320,1.97
191,Sam Houston St. (Southland),127,18-13,56,386,1.96
192,UNI (MVC),126,24-10,78,338,1.96
193,North Dakota (Summit League),113,12-18,55,333,1.96
194,Grambling (SWAC),109,8-24,59,309,1.96
195,Columbia (Ivy League),93,12-12,41,282,1.96
196,Stetson (ASUN),103,12-15,63,277,1.96
197,East Carolina (AAC),113,19-11,67,308,1.96
198,Arizona St. (Pac-12),124,17-14,91,303,1.96
199,New Orleans (Southland),111,13-18,68,298,1.95
200,Tennessee St. (OVC),104,12-17,34,338,1.95
201,Akron (MAC),103,16-12,56,290,1.95
202,Iona (MAAC),101,5-23,43,307,1.95
202,Rice (C-USA),101,26-3,63,267,1.95
204,Ohio St. (Big Ten),114,15-17,42,359,1.94
205,DePaul (Big East),121,14-16,93,284,1.94
206,Eastern Ky. (OVC),99,9-21,52,280,1.94
207,Providence (Big East),111,6-24,32,365,1.93
208,Auburn (SEC),103,7-22,63,272,1.93
209,Bucknell (Patriot),102,14-14,53,288,1.93
210,Jacksonville (ASUN),116,10-21,41,366,1.93
211,Ga. Southern (Sun Belt),101,7-20,55,278,1.92
212,Arkansas (SEC),113,11-19,37,358,1.91
213,LMU (CA) (WCC),110,14-15,49,321,1.90
214,Penn (Ivy League),82,11-10,28,256,1.90
215,Campbell (Big South),108,17-13,36,338,1.90
216,FIU (C-USA),103,10-16,58,275,1.90
217,Princeton (Ivy League),87,17-7,42,245,1.89
218,Mercer (SoCon),114,14-16,83,265,1.89
219,Siena (MAAC),111,11-18,45,328,1.88
220,Bethune-Cookman (MEAC),118,8-24,63,318,1.88
221,Southern U. (SWAC),108,10-20,88,230,1.88
222,Louisiana (Sun Belt),110,14-16,70,272,1.87
223,Central Mich. (MAC),109,21-8,80,248,1.87
224,Michigan (Big Ten),112,20-10,26,366,1.87
225,Indiana St. (MVC),103,7-21,24,336,1.86
226,Saint Louis (Atlantic 10),112,17-12,51,315,1.86
227,Omaha (Summit League),129,19-14,41,398,1.86
228,UAB (C-USA),98,12-15,30,304,1.86
229,UNLV (Mountain West),121,19-10,59,331,1.86
230,Cal St. Fullerton (Big West),100,12-15,41,288,1.85
231,South Alabama (Sun Belt),119,20-11,84,270,1.84
232,Niagara (MAAC),105,13-16,43,300,1.84
233,Gonzaga (WCC),110,11-19,51,302,1.84
234,Manhattan (MAAC),115,8-23,59,304,1.83
235,Miami (FL) (ACC),102,10-16,20,334,1.83
236,San Jose St. (Mountain West),107,10-19,45,302,1.83
237,Eastern Ill. (OVC),106,3-26,45,298,1.83
238,South Fla. (AAC),113,7-23,42,329,1.83
239,Kennesaw St. (ASUN),112,22-8,51,307,1.83
240,Western Mich. (MAC),112,14-14,59,290,1.82
240,La.-Monroe (Sun Belt),112,12-20,56,296,1.82
240,Fairleigh Dickinson (NEC),98,4-26,40,277,1.82
243,Appalachian St. (Sun Belt),116,13-17,75,272,1.82
244,Toledo (MAC),108,9-19,66,258,1.81
245,Quinnipiac (MAAC),114,14-16,50,311,1.80
246,Middle Tenn. (C-USA),117,13-17,34,350,1.79
247,Southern Utah (Big Sky),116,15-16,42,330,1.78
248,Bryant (NEC),113,15-17,29,344,1.78
249,Temple (AAC),92,12-15,28,271,1.78
250,Alabama A&M (SWAC),111,18-14,78,238,1.77
251,UNC Greensboro (SoCon),97,10-17,30,284,1.77
252,Howard (MEAC),118,20-12,56,306,1.77
253,North Dakota St. (Summit League),112,13-16,48,300,1.77
254,Jackson St. (SWAC),126,17-19,102,241,1.77
255,UIW (Southland),114,7-23,51,300,1.76
256,Morehead St. (OVC),115,23-9,46,313,1.76
257,Binghamton (America East),74,0-23,24,212,1.76
258,Duquesne (Atlantic 10),94,10-17,35,260,1.76
259,Troy (Sun Belt),113,22-9,69,258,1.75
260,Davidson (Atlantic 10),105,10-18,39,288,1.74
261,South Dakota St. (Summit League),107,6-22,68,236,1.74
262,Florida A&M (MEAC),106,9-18,57,254,1.74
263,Yale (Ivy League),83,15-8,49,190,1.73
264,Presbyterian (Big South),103,15-15,47,262,1.73
265,Northeastern (CAA),108,15-14,49,275,1.73
266,Little Rock (Sun Belt),95,6-22,25,278,1.73
267,Kent St. (MAC),113,14-15,55,278,1.72
268,Central Ark. (Southland),124,16-14,47,331,1.71
269,Alabama St. (SWAC),139,17-21,98,279,1.71
270,N.C. Central (MEAC),123,8-24,41,338,1.71
271,Memphis (AAC),110,17-11,46,283,1.70
272,Northwestern St. (Southland),116,20-12,43,309,1.70
273,Lipscomb (ASUN),105,16-13,42,273,1.70
274,Marist (MAAC),115,15-15,39,312,1.70
275,Portland (WCC),107,11-18,40,280,1.68
276,Georgetown (Big East),122,13-19,39,332,1.68
277,Iowa (Big Ten),115,10-21,30,324,1.67
278,Georgia (SEC),107,20-9,17,322,1.66
279,North Florida (ASUN),126,15-18,42,334,1.66
280,Ball St. (MAC),123,20-11,71,266,1.66
281,Nicholls St. (Southland),106,11-16,84,183,1.66
282,UNC Asheville (Big South),90,13-13,49,200,1.66
283,Austin Peay (OVC),118,11-20,55,280,1.65
284,Oral Roberts (Summit League),123,8-23,36,332,1.64
285,Norfolk St. (MEAC),86,2-23,23,236,1.64
286,UC Irvine (Big West),105,5-23,30,284,1.64
287,Youngstown St. (Horizon),101,8-21,34,260,1.62
288,Belmont (OVC),108,2-29,25,299,1.62
289,Coppin St. (MEAC),114,13-18,35,297,1.61
290,Georgia Tech (ACC),106,21-8,54,233,1.61
291,Evansville (MVC),117,16-14,26,324,1.61
292,Marquette (Big East),115,27-5,33,303,1.60
293,Virginia Tech (ACC),121,11-20,42,303,1.60
294,Ark.-Pine Bluff (SWAC),124,10-24,93,210,1.60
295,Lafayette (Patriot),125,13-19,37,325,1.60
296,Navy (Patriot),111,17-12,53,248,1.59
297,Southern Ill. (MVC),134,14-18,37,349,1.58
298,Northern Colo. (Big Sky),128,26-7,61,281,1.57
299,Western Caro. (SoCon),113,17-13,54,246,1.57
300,Air Force (Mountain West),114,8-22,34,289,1.57
301,LIU (NEC),105,12-17,45,238,1.56
302,Stony Brook (America East),96,9-17,36,225,1.55
303,Rhode Island (Atlantic 10),95,8-18,42,206,1.53
304,Loyola Maryland (Patriot),122,13-18,36,300,1.52
305,UC Riverside (Big West),101,6-22,30,247,1.52
306,The Citadel (SoCon),111,9-20,58,220,1.51
307,Chattanooga (SoCon),115,7-23,53,242,1.51
308,Hofstra (CAA),111,17-12,28,279,1.51
309,Eastern Wash. (Big Sky),113,6-24,41,259,1.51
310,Holy Cross (Patriot),111,5-25,54,226,1.50
311,Milwaukee (Horizon),119,26-6,32,292,1.50
312,Chicago St. (WAC),119,5-26,47,260,1.49
313,La Salle (Atlantic 10),105,15-13,21,263,1.45
314,Delaware St. (MEAC),110,11-18,52,215,1.45
315,Northern Ill. (MAC),110,8-22,35,248,1.45
316,Texas Southern (SWAC),94,10-16,58,150,1.41
317,Pacific (WCC),120,13-17,35,262,1.38
318,Cincinnati (AAC),111,25-6,37,233,1.38
319,Seton Hall (Big East),114,8-24,34,242,1.36
320,NJIT (ASUN),110,1-31,23,251,1.35
321,Southern Miss. (C-USA),102,3-26,32,211,1.35
