Rank,Team,S,W-L,Digs,Per Set
1,Wright St. (Horizon),108,24-5,"2,120",19.63
2,Bradley (MVC),119,15-15,"2,242",18.84
3,Charlotte (C-USA),112,16-15,"2,067",18.46
4,Evansville (MVC),117,16-14,"2,146",18.34
5,Fordham (Atlantic 10),106,12-14,"1,931",18.22
6,SMU (AAC),106,18-10,"1,919",18.10
7,Western Caro. (SoCon),113,17-13,"2,039",18.04
8,Indiana St. (MVC),103,7-21,"1,846",17.92
9,UNI (MVC),126,24-10,"2,257",17.91
10,Louisiana (Sun Belt),110,14-16,"1,967",17.88
11,Bowling Green (MAC),120,19-12,"2,132",17.77
12,Houston Baptist (Southland),118,17-15,"2,095",17.75
13,Central Mich. (MAC),109,21-8,"1,928",17.69
14,SFA (Southland),111,31-1,"1,962",17.68
15,Kent St. (MAC),113,14-15,"1,997",17.67
16,Southern Ill. (MVC),134,14-18,"2,368",17.67
17,Loyola Maryland (Patriot),122,13-18,"2,152",17.64
18,Northern Ky. (Horizon),120,19-12,"2,107",17.56
19,Ball St. (MAC),123,20-11,"2,158",17.54
20,Green Bay (Horizon),114,21-9,"1,997",17.52
21,Winthrop (Big South),106,24-4,"1,855",17.50
22,Cal St. Fullerton (Big West),100,12-15,"1,744",17.44
23,Army West Point (Patriot),116,22-10,"2,021",17.42
24,Milwaukee (Horizon),119,26-6,"2,071",17.40
25,Rice (C-USA),101,26-3,"1,754",17.37
26,Valparaiso (MVC),127,14-20,"2,190",17.24
27,Cleveland St. (Horizon),108,8-19,"1,859",17.21
28,Tulsa (AAC),115,15-15,"1,962",17.06
29,Eastern Mich. (MAC),106,11-17,"1,807",17.05
30,Eastern Ky. (OVC),99,9-21,"1,686",17.03
31,Oakland (Horizon),108,15-14,"1,826",16.91
32,Idaho St. (Big Sky),115,7-23,"1,940",16.87
33,Canisius (MAAC),123,15-16,"2,068",16.81
34,Robert Morris (NEC),107,25-5,"1,798",16.80
35,North Texas (C-USA),109,17-11,"1,831",16.80
36,Miami (OH) (MAC),103,17-11,"1,729",16.79
37,Southern Miss. (C-USA),102,3-26,"1,711",16.77
38,UIC (Horizon),116,20-11,"1,943",16.75
39,Illinois St. (MVC),129,22-11,"2,143",16.61
40,Drake (MVC),125,9-22,"2,074",16.59
41,Portland St. (Big Sky),111,10-19,"1,841",16.59
42,Southeast Mo. St. (OVC),126,23-10,"2,089",16.58
43,South Dakota (Summit League),104,27-2,"1,723",16.57
44,SIUE (OVC),112,14-15,"1,852",16.54
45,Fairfield (MAAC),107,24-5,"1,768",16.52
46,Central Conn. St. (NEC),117,15-15,"1,932",16.51
47,Stetson (ASUN),103,12-15,"1,698",16.49
48,Northwestern St. (Southland),116,20-12,"1,912",16.48
49,Northern Ariz. (Big Sky),124,21-11,"2,041",16.46
50,Akron (MAC),103,16-12,"1,695",16.46
51,Minnesota (Big Ten),95,22-5,"1,562",16.44
52,Sam Houston St. (Southland),127,18-13,"2,081",16.39
53,Weber St. (Big Sky),119,24-8,"1,949",16.38
54,Loyola Chicago (MVC),124,21-11,"2,028",16.35
55,Rhode Island (Atlantic 10),95,8-18,"1,551",16.33
