girls,boys,count,p_boy
0,0,1499,0.5144
0,1,552,0.5187
0,2,163,0.527
0,3,45,0.525
0,4,13,0.544
0,5,4,0.535
0,6,2,0.521
1,0,506,0.5088
1,1,290,0.5116
1,2,114,0.514
1,3,43,0.524
1,4,16,0.525
1,5,7,0.533
1,6,3,0.545
2,0,142,0.502
2,1,107,0.505
2,2,60,0.507
2,3,30,0.513
2,4,15,0.519
2,5,7,0.524
2,6,3,0.518
3,0,37,0.493
3,1,38,0.493
3,2,29,0.503
3,3,19,0.515
3,4,11,0.507
3,5,6,0.510
3,6,3,0.527
4,0,10,0.483
4,1,14,0.495
4,2,13,0.497
4,3,11,0.502
4,4,8,0.507
4,5,5,0.516
4,6,3,0.521
5,0,3,0.487
5,1,6,0.490
5,2,6,0.497
5,3,6,0.487
5,4,5,0.512
5,5,3,0.514
6,0,1,0.484
6,1,2,0.482
6,2,3,0.479
6,3,3,0.501
6,4,2,0.486
