Rank,Team,S,W-L,Kills,Errors,Total Attacks,Pct.
1,Texas (Big 12),85,21-3,"1,178",296,"2,766",0.319
2,Western Ky. (C-USA),110,31-1,"1,508",428,"3,528",0.306
3,Missouri (SEC),104,21-7,"1,529",501,"3,410",0.301
4,Wisconsin (Big Ten),97,22-6,"1,405",418,"3,349",0.295
5,Cincinnati (AAC),111,25-6,"1,699",558,"3,880",0.294
6,Stanford (Pac-12),100,24-4,"1,471",439,"3,571",0.289
7,San Diego (WCC),105,24-5,"1,477",492,"3,443",0.286
8,Coastal Carolina (Sun Belt),116,24-6,"1,536",473,"3,719",0.286
9,Colorado St. (Mountain West),105,29-1,"1,435",492,"3,323",0.284
10,Florida (SEC),106,25-4,"1,414",448,"3,411",0.283
11,Baylor (Big 12),86,25-1,"1,249",426,"2,923",0.282
12,Georgia Tech (ACC),106,21-8,"1,502",508,"3,565",0.279
13,Marquette (Big East),115,27-5,"1,714",571,"4,109",0.278
14,Penn St. (Big Ten),98,24-4,"1,347",445,"3,243",0.278
15,Princeton (Ivy League),87,17-7,"1,287",428,"3,098",0.277
16,Rice (C-USA),101,26-3,"1,468",479,"3,575",0.277
17,Pittsburgh (ACC),103,29-1,"1,523",524,"3,621",0.276
18,UCF (AAC),114,24-7,"1,599",471,"4,096",0.275
19,BYU (WCC),106,25-4,"1,389",462,"3,372",0.275
20,Towson (CAA),103,28-2,"1,486",492,"3,622",0.274
21,California (Pac-12),113,20-10,"1,522",506,"3,713",0.274
22,Kentucky (SEC),104,23-6,"1,503",494,"3,697",0.273
23,Villanova (Big East),112,22-9,"1,450",430,"3,767",0.271
24,South Dakota (Summit League),104,27-2,"1,494",497,"3,691",0.27
25,Nebraska (Big Ten),106,25-4,"1,462",503,"3,567",0.269
26,Michigan (Big Ten),112,20-10,"1,563",552,"3,772",0.268
27,Minnesota (Big Ten),95,22-5,"1,338",409,"3,504",0.265
28,FGCU (ASUN),108,27-5,"1,460",459,"3,782",0.265
29,VCU (Atlantic 10),108,24-6,"1,394",473,"3,490",0.264
30,South Carolina (SEC),106,19-11,"1,377",466,"3,456",0.264
31,New Mexico St. (WAC),105,27-3,"1,438",514,"3,507",0.263
