zip,households,income
53001,788,72206
53002,869,85478
53003,52,55500
53004,1217,77989
53005,7556,97202
53006,670,74107
53007,895,41925
53010,2994,63509
53011,932,72500
53012,7351,88844
53013,1301,68938
53014,3327,61834
53015,1025,67740
53016,138,51250
53017,2123,106577
53018,3105,97482
53019,764,61053
53020,1654,63167
53021,1959,82750
53022,7657,79230
53023,527,68750
53024,6821,75592
53027,8987,68701
53029,7738,91435
53031,0,NA
53032,1834,62800
53033,2115,92620
53034,686,62708
53035,915,64414
53036,1134,75179
53037,3703,74327
53038,1590,75000
53039,1628,57800
53040,2980,70938
53042,2877,58583
53044,957,79063
53045,8482,100438
53046,487,56771
53047,15,126250
53048,1389,51725
53049,1069,83191
53050,2827,54806
53051,15011,76944
53057,648,67174
53058,1482,92792
53059,750,69886
53061,2170,54509
53063,642,67333
53065,908,64342
53066,13372,86343
53069,353,115568
53070,1891,62956
53072,10617,82032
53073,6089,60744
53074,5408,64446
53075,1332,68304
53076,1232,103000
53078,711,69934
53079,597,71797
53080,2330,59545
53081,18180,44181
53083,8111,67704
53085,5004,55579
53086,3332,78796
53088,183,57865
53089,7333,87106
53090,8798,66385
53091,804,62333
53092,8661,96627
53093,768,80938
53094,7562,49514
53095,11728,63157
53097,1990,107667
53098,4634,54760
53103,1503,86809
53104,2200,71462
53105,11381,66699
53108,1291,68673
53110,7572,49882
53114,980,63190
53115,6318,53868
53118,2863,79577
53119,2040,87553
53120,3926,66815
53121,7407,65065
53122,2307,113750
53125,852,78971
53126,2701,77393
53128,3117,56057
53129,5939,64622
53130,3182,71393
53132,13358,76548
53137,621,75893
53139,1069,78831
53140,11567,38486
53142,12036,66607
53143,9024,45286
53144,9778,55414
53146,3095,83586
53147,6953,60943
53149,7428,86899
53150,9411,85744
53151,13657,76772
53153,912,90250
53154,14081,70530
53156,1189,57989
53158,6476,76851
53167,308,51579
53168,3341,74088
53170,923,61228
53172,8628,51484
53177,2663,64920
53178,1157,60298
53179,2363,68199
53181,2715,65168
53182,3321,66572
53183,1053,99095
53184,1663,51377
53185,7053,86729
53186,13821,57423
53188,14444,66359
53189,9728,87062
53190,6422,43339
53191,1194,63190
53192,50,NA
53195,55,52125
53202,15338,52441
53203,865,66161
53204,13047,28218
53205,3435,23125
53206,8239,22877
53207,16525,58646
53208,12304,31592
53209,18339,33395
53210,9703,34516
53211,14322,60195
53212,13146,33597
53213,11519,73308
53214,15823,44343
53215,19329,35803
53216,13196,34977
53217,11668,100262
53218,14029,37692
53219,14963,52468
53220,11557,48523
53221,15883,50645
53222,11372,52811
53223,12623,45973
53224,7743,46766
53225,9706,42665
53226,8271,71121
53227,10976,48613
53228,6354,61839
53233,4497,14920
53235,4537,41719
53295,0,NA
53402,13257,58134
53403,10231,43411
53404,5484,35013
53405,9815,52978
53406,11050,64478
53501,65,NA
53502,1003,51701
53503,811,55655
53504,818,51500
53505,169,62321
53506,437,42396
53507,858,81406
53508,2068,82778
53510,591,60302
53511,18895,43055
53515,955,67454
53516,927,66098
53517,704,76447
53518,599,47981
53520,2625,57227
53521,1464,85305
53522,434,55952
53523,2033,78705
53525,1485,65718
53526,253,52589
53527,3795,92882
53528,2335,86301
53529,801,80625
53530,1820,54375
53531,1679,79421
53532,5490,78401
53533,2959,62128
53534,4900,65915
53536,3449,65262
53537,292,48917
53538,7513,55340
53540,116,36364
53541,368,63833
53543,724,53750
53544,291,67813
53545,9796,49359
53546,12500,62500
53548,7569,50724
53549,4079,54603
53550,414,60000
53551,3405,69227
53553,220,42500
53554,414,54500
53555,3512,73913
53556,1138,48125
53557,156,47188
53558,4638,90333
53559,2229,71498
53560,1496,67357
53561,800,73194
53562,10978,79240
53563,4314,69955
53565,2058,57798
53566,6492,50778
53569,488,56500
53570,1126,64904
53571,98,98929
53572,4089,74087
53573,1291,46250
53574,1499,74181
53575,5907,92274
53576,904,59565
53577,581,62266
53578,2570,67034
53579,714,56250
53580,209,56875
53581,4438,47500
53582,465,57750
53583,2301,70152
53585,883,50365
53586,920,53750
53587,502,55313
53588,1749,60377
53589,7913,71051
53590,15350,72317
53593,8837,99578
53594,2123,75306
53597,6944,98519
53598,1008,74244
53599,23,31528
53702,13,NA
53703,15383,36631
53704,20525,55758
53705,11818,65385
53706,112,12333
53711,20204,74725
53713,9963,38843
53714,7369,56148
