Rank,Team,S,W-L,Kills,Per Set
1,Cincinnati (AAC),111,25-6,"1,699",15.31
2,Marquette (Big East),115,27-5,"1,714",14.90
3,Princeton (Ivy League),87,17-7,"1,287",14.79
4,Pittsburgh (ACC),103,29-1,"1,523",14.79
5,Stanford (Pac-12),100,24-4,"1,471",14.71
6,Missouri (SEC),104,21-7,"1,529",14.70
7,UNI (MVC),126,24-10,"1,837",14.58
8,Rice (C-USA),101,26-3,"1,468",14.53
9,Baylor (Big 12),86,25-1,"1,249",14.52
10,Wisconsin (Big Ten),97,22-6,"1,405",14.48
11,Kentucky (SEC),104,23-6,"1,503",14.45
12,Towson (CAA),103,28-2,"1,486",14.43
13,Kennesaw St. (ASUN),112,22-8,"1,615",14.42
14,Morehead St. (OVC),115,23-9,"1,654",14.38
15,South Dakota (Summit League),104,27-2,"1,494",14.37
16,Milwaukee (Horizon),119,26-6,"1,706",14.34
17,SMU (AAC),106,18-10,"1,505",14.20
18,Georgia Tech (ACC),106,21-8,"1,502",14.17
19,Minnesota (Big Ten),95,22-5,"1,338",14.08
20,Creighton (Big East),99,24-5,"1,394",14.08
21,San Diego (WCC),105,24-5,"1,477",14.07
22,UCF (AAC),114,24-7,"1,599",14.03
23,Murray St. (OVC),114,19-11,"1,595",13.99
24,UCLA (Pac-12),96,18-11,"1,343",13.99
25,Utah (Pac-12),124,22-9,"1,733",13.98
26,Michigan (Big Ten),112,20-10,"1,563",13.96
27,Jacksonville St. (OVC),106,20-10,"1,479",13.95
28,Cornell (Ivy League),86,17-6,"1,196",13.91
29,Northern Colo. (Big Sky),128,26-7,"1,779",13.90
30,Georgia (SEC),107,20-9,"1,484",13.87
31,Texas (Big 12),85,21-3,"1,178",13.86
32,UC Santa Barbara (Big West),98,22-5,"1,354",13.82
33,Nebraska (Big Ten),106,25-4,"1,462",13.79
34,Illinois St. (MVC),129,22-11,"1,778",13.78
35,Ball St. (MAC),123,20-11,"1,695",13.78
36,Penn St. (Big Ten),98,24-4,"1,347",13.74
37,Western Ky. (C-USA),110,31-1,"1,508",13.71
38,Fla. Atlantic (C-USA),100,16-11,"1,370",13.70
39,New Mexico St. (WAC),105,27-3,"1,438",13.70
40,Illinois (Big Ten),113,16-13,"1,547",13.69
41,Colorado St. (Mountain West),105,29-1,"1,435",13.67
41,Tennessee (SEC),108,15-13,"1,476",13.67
43,Troy (Sun Belt),113,22-9,"1,544",13.66
44,La Salle (Atlantic 10),105,15-13,"1,433",13.65
45,Iowa St. (Big 12),104,17-11,"1,417",13.63
46,Wright St. (Horizon),108,24-5,"1,471",13.62
47,St. John's (NY) (Big East),115,22-11,"1,564",13.60
48,Texas A&M (SEC),110,21-7,"1,495",13.59
49,Sacred Heart (NEC),117,20-11,"1,589",13.58
50,Fairfield (MAAC),107,24-5,"1,453",13.58
51,Washington (Pac-12),114,24-5,"1,547",13.57
52,Kansas City (WAC),107,17-11,"1,448",13.53
53,Kent St. (MAC),113,14-15,"1,529",13.53
54,Long Beach St. (Big West),105,12-16,"1,420",13.52
55,Sam Houston St. (Southland),127,18-13,"1,717",13.52
56,FGCU (ASUN),108,27-5,"1,460",13.52
57,Lipscomb (ASUN),105,16-13,"1,419",13.51
58,Omaha (Summit League),129,19-14,"1,742",13.50
59,Columbia (Ivy League),93,12-12,"1,255",13.49
60,Ohio St. (Big Ten),114,15-17,"1,538",13.49
61,Hawaii (Big West),104,24-3,"1,402",13.48
62,California (Pac-12),113,20-10,"1,522",13.47
63,Loyola Maryland (Patriot),122,13-18,"1,643",13.47
64,Northern Ky. (Horizon),120,19-12,"1,613",13.44
65,Miami (OH) (MAC),103,17-11,"1,383",13.43
66,Green Bay (Horizon),114,21-9,"1,530",13.42
67,Northwestern St. (Southland),116,20-12,"1,556",13.41
68,Pepperdine (WCC),114,18-11,"1,529",13.41
69,Eastern Mich. (MAC),106,11-17,"1,421",13.41
70,Army West Point (Patriot),116,22-10,"1,552",13.38
71,Central Mich. (MAC),109,21-8,"1,458",13.38
72,American (Patriot),115,24-7,"1,536",13.36
73,ETSU (SoCon),122,25-6,"1,629",13.35
74,Florida (SEC),106,25-4,"1,414",13.34
75,DePaul (Big East),121,14-16,"1,612",13.32
76,Liberty (ASUN),109,19-11,"1,452",13.32
77,Winthrop (Big South),106,24-4,"1,409",13.29
78,Dayton (Atlantic 10),111,22-8,"1,474",13.28
79,Robert Morris (NEC),107,25-5,"1,420",13.27
80,Loyola Chicago (MVC),124,21-11,"1,645",13.27
81,Hofstra (CAA),111,17-12,"1,471",13.25
82,UIC (Horizon),116,20-11,"1,537",13.25
83,Coastal Carolina (Sun Belt),116,24-6,"1,536",13.24
84,Yale (Ivy League),83,15-8,"1,098",13.23
85,Ohio (MAC),119,18-13,"1,574",13.23
86,Texas Tech (Big 12),116,17-13,"1,530",13.19
87,Central Ark. (Southland),124,16-14,"1,633",13.17
88,Samford (SoCon),115,24-5,"1,514",13.17
89,Washington St. (Pac-12),114,22-9,"1,498",13.14
90,UNLV (Mountain West),121,19-10,"1,589",13.13
91,Northeastern (CAA),108,15-14,"1,418",13.13
92,LMU (CA) (WCC),110,14-15,"1,444",13.13
93,Navy (Patriot),111,17-12,"1,456",13.12
94,UT Arlington (Sun Belt),118,18-13,"1,547",13.11
95,BYU (WCC),106,25-4,"1,389",13.10
96,East Carolina (AAC),113,19-11,"1,480",13.10
97,Colgate (Patriot),111,22-7,"1,452",13.08
98,Oregon (Pac-12),113,9-20,"1,478",13.08
99,Weber St. (Big Sky),119,24-8,"1,555",13.07
100,UTSA (C-USA),108,16-13,"1,410",13.06
101,North Texas (C-USA),109,17-11,"1,423",13.06
102,San Diego St. (Mountain West),110,15-14,"1,436",13.05
103,Evansville (MVC),117,16-14,"1,527",13.05
104,Notre Dame (ACC),112,19-9,"1,461",13.04
105,SFA (Southland),111,31-1,"1,447",13.04
106,A&M-Corpus Christi (Southland),117,19-12,"1,524",13.03
107,Arizona (Pac-12),117,15-17,"1,520",12.99
108,South Carolina (SEC),106,19-11,"1,377",12.99
109,Tulsa (AAC),115,15-15,"1,493",12.98
110,Hartford (America East),109,16-13,"1,415",12.98
111,North Florida (ASUN),126,15-18,"1,635",12.98
112,Boston College (ACC),124,20-11,"1,609",12.98
113,Purdue (Big Ten),111,22-7,"1,438",12.95
114,Villanova (Big East),112,22-9,"1,450",12.95
115,Texas St. (Sun Belt),114,24-8,"1,475",12.94
116,VCU (Atlantic 10),108,24-6,"1,394",12.91
117,Southern California (Pac-12),126,17-13,"1,624",12.89
