zip,obese,bmi,pop,sex,age
53001,NA,NA,151,female,05-17
53002,11,78,172,female,05-17
53003,NA,NA,4,female,05-17
53004,NA,NA,325,female,05-17
53005,NA,NA,1882,female,05-17
53006,NA,NA,122,female,05-17
53007,NA,NA,95,female,05-17
53010,27,231,521,female,05-17
53011,NA,NA,189,female,05-17
53012,44,480,1716,female,05-17
53013,NA,NA,256,female,05-17
53014,21,113,763,female,05-17
53015,NA,NA,212,female,05-17
53016,NA,NA,5,female,05-17
53017,15,141,570,female,05-17
53018,NA,NA,685,female,05-17
53019,NA,NA,132,female,05-17
53020,NA,NA,291,female,05-17
53021,12,127,368,female,05-17
53022,62,670,1983,female,05-17
53023,NA,NA,149,female,05-17
53024,37,296,1298,female,05-17
53027,61,512,2082,female,05-17
53029,NA,NA,2337,female,05-17
53031,NA,NA,4,female,05-17
53032,17,95,530,female,05-17
53033,11,114,268,female,05-17
53034,NA,NA,143,female,05-17
53035,NA,NA,227,female,05-17
53036,NA,NA,182,female,05-17
53037,35,349,811,female,05-17
53038,NA,NA,369,female,05-17
53039,13,64,301,female,05-17
53040,38,332,808,female,05-17
53042,10,77,589,female,05-17
53044,NA,NA,350,female,05-17
53045,NA,NA,2171,female,05-17
53046,NA,NA,53,female,05-17
53047,NA,NA,11,female,05-17
53048,NA,NA,240,female,05-17
53049,NA,NA,228,female,05-17
53050,11,80,466,female,05-17
53051,80,854,2903,female,05-17
53057,NA,NA,105,female,05-17
53058,NA,NA,292,female,05-17
53059,NA,NA,108,female,05-17
53061,NA,NA,345,female,05-17
53063,NA,NA,135,female,05-17
53065,NA,NA,184,female,05-17
53066,NA,NA,3053,female,05-17
53069,NA,NA,19,female,05-17
53070,11,92,461,female,05-17
53072,NA,NA,2413,female,05-17
53073,40,242,1183,female,05-17
53074,30,186,1132,female,05-17
53075,NA,NA,275,female,05-17
53076,NA,NA,406,female,05-17
53078,NA,NA,187,female,05-17
53079,NA,NA,98,female,05-17
53080,10,110,427,female,05-17
53081,110,539,3400,female,05-17
53083,33,205,1756,female,05-17
53085,21,152,1004,female,05-17
53086,29,250,763,female,05-17
53088,NA,NA,22,female,05-17
53089,35,423,1833,female,05-17
53090,124,858,1802,female,05-17
53091,NA,NA,149,female,05-17
53092,21,308,1583,female,05-17
53093,NA,NA,150,female,05-17
53094,NA,NA,1932,female,05-17
53095,134,1043,2072,female,05-17
53097,NA,NA,611,female,05-17
53098,NA,NA,1121,female,05-17
53103,NA,NA,283,female,05-17
53104,NA,NA,412,female,05-17
53105,NA,NA,2518,female,05-17
53108,NA,NA,210,female,05-17
53110,NA,NA,1388,female,05-17
53114,NA,NA,259,female,05-17
53115,NA,NA,1215,female,05-17
