zip,obese,bmi,pop,sex,age,pct_m_bach,pct_f_bach,households,income,urban,rural,population,p_urban
53001,NA,NA,151,female,05-17,13,23,788,72206,0,1901,1901,0
53002,11,78,172,female,05-17,16.2,25.4,869,85478,0,2299,2299,0
53003,NA,NA,4,female,05-17,6.8,9.4,52,55500,0,141,141,0
53004,NA,NA,325,female,05-17,23.3,26.8,1217,77989,0,3330,3330,0
53005,NA,NA,1882,female,05-17,55.6,53.9,7556,97202,19425,0,19425,1
53006,NA,NA,122,female,05-17,15.4,26.8,670,74107,0,1779,1779,0
53007,NA,NA,95,female,05-17,25,29.5,895,41925,1841,0,1841,1
53010,27,231,521,female,05-17,12,18.3,2994,63509,0,7681,7681,0
53011,NA,NA,189,female,05-17,16.8,18.3,932,72500,0,2260,2260,0
53012,44,480,1716,female,05-17,53.4,48.1,7351,88844,13067,5030,18097,0.7220533790130961
53013,NA,NA,256,female,05-17,25.1,24.6,1301,68938,0,3308,3308,0
53014,21,113,763,female,05-17,17.5,21.2,3327,61834,3590,4372,7962,0.45089173574478775
53015,NA,NA,212,female,05-17,24.4,25.4,1025,67740,0,2609,2609,0
53016,NA,NA,5,female,05-17,3.8,13.9,138,51250,0,384,384,0
53017,15,141,570,female,05-17,41.5,42,2123,106577,2919,2619,5538,0.5270855904658721
53018,NA,NA,685,female,05-17,55.7,53.4,3105,97482,6148,1751,7899,0.7783263704266363
53019,NA,NA,132,female,05-17,11.5,18.2,764,61053,892,1135,2027,0.44005920078934385
53020,NA,NA,291,female,05-17,23.3,27.7,1654,63167,0,3500,3500,0
53021,12,127,368,female,05-17,17.4,21.8,1959,82750,0,4709,4709,0
53022,62,670,1983,female,05-17,41.3,38.5,7657,79230,17050,1870,18920,0.9011627906976745
53023,NA,NA,149,female,05-17,7.9,26.2,527,68750,0,1496,1496,0
53024,37,296,1298,female,05-17,43.8,42.1,6821,75592,13503,3076,16579,0.8144640810664093
53027,61,512,2082,female,05-17,24.6,27.9,8987,68701,14666,7375,22041,0.6653963068826279
53029,NA,NA,2337,female,05-17,47.5,45.6,7738,91435,18795,2004,20799,0.9036492139045147
53031,NA,NA,4,female,05-17,NA,NA,0,NA,0,43,43,0
53032,17,95,530,female,05-17,17.6,17.1,1834,62800,3493,1264,4757,0.7342863149043515
53033,11,114,268,female,05-17,32,34.7,2115,92620,3138,1747,4885,0.642374616171955
53034,NA,NA,143,female,05-17,11.3,14.9,686,62708,0,1811,1811,0
53035,NA,NA,227,female,05-17,10,19.1,915,64414,0,2406,2406,0
53036,NA,NA,182,female,05-17,23.6,29,1134,75179,950,1770,2720,0.3492647058823529
