zip,obese_female_05-17,obese_female_18-34,obese_female_35-54,obese_female_55-74,obese_female_75-plus,obese_male_05-17,obese_male_18-34,obese_male_35-54,obese_male_55-74,obese_male_75-plus,bmi_female_05-17,bmi_female_18-34,bmi_female_35-54,bmi_female_55-74,bmi_female_75-plus,bmi_male_05-17,bmi_male_18-34,bmi_male_35-54,bmi_male_55-74,bmi_male_75-plus,pop_female_05-17,pop_female_18-34,pop_female_35-54,pop_female_55-74,pop_female_75-plus,pop_male_05-17,pop_male_18-34,pop_male_35-54,pop_male_55-74,pop_male_75-plus,pct_m_bach,pct_f_bach,households,income,urban,rural,population,p_urban
53001,NA,20,39,51,NA,NA,12,44,70,NA,NA,73,103,110,NA,NA,49,86,119,NA,151,163,249,259,55,164,141,302,239,73,13,23,788,72206,0,1901,1901,0
53002,11,40,66,90,15,11,18,80,92,11,78,133,194,174,48,71,82,166,196,31,172,217,419,265,76,211,348,346,291,67,16.2,25.4,869,85478,0,2299,2299,0
53003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,5,15,4,5,5,11,14,0,6.8,9.4,52,55500,0,141,141,0
53004,NA,32,48,37,16,NA,17,61,43,NA,NA,83,104,77,37,NA,51,98,77,NA,325,314,529,309,92,400,357,530,277,89,23.3,26.8,1217,77989,0,3330,3330,0
53005,NA,94,219,342,134,NA,93,187,351,129,NA,529,779,1071,586,NA,341,527,862,481,1882,1449,2808,2661,1121,1782,1306,2829,2231,784,55.6,53.9,7556,97202,19425,0,19425,1
53006,NA,NA,13,NA,NA,NA,NA,NA,15,NA,NA,NA,37,NA,NA,NA,NA,NA,39,NA,122,144,263,202,56,176,206,342,195,46,15.4,26.8,670,74107,0,1779,1779,0
53007,NA,21,33,64,24,NA,11,27,48,NA,NA,66,70,122,80,NA,39,61,82,NA,95,192,155,278,81,118,285,272,174,66,25,29.5,895,41925,1841,0,1841,1
53010,27,95,209,199,47,29,55,182,223,47,231,289,513,407,140,201,175,402,440,115,521,498,1037,938,387,647,736,1070,1065,230,12,18.3,2994,63509,0,7681,7681,0
53011,NA,26,63,39,NA,NA,NA,53,48,NA,NA,62,121,81,NA,NA,NA,101,110,NA,189,147,410,241,71,230,176,410,302,78,16.8,18.3,932,72500,0,2260,2260,0
53012,44,111,245,330,129,52,68,287,403,94,480,571,806,892,426,446,349,659,883,343,1716,1445,2777,2067,946,1750,1566,2725,2082,614,53.4,48.1,7351,88844,13067,5030,18097,0.7220533790130961
53013,NA,25,38,57,22,NA,18,42,46,10,NA,75,103,119,47,NA,59,77,105,38,256,269,419,377,156,281,315,426,408,87,25.1,24.6,1301,68938,0,3308,3308,0
53014,21,43,99,68,NA,17,NA,79,59,NA,113,120,186,137,NA,103,NA,154,122,NA,763,583,1191,869,431,591,879,1131,983,190,17.5,21.2,3327,61834,3590,4372,7962,0.45089173574478775
53015,NA,13,42,51,NA,NA,14,38,49,NA,NA,47,87,111,NA,NA,52,74,107,NA,212,234,320,323,57,267,224,338,367,61,24.4,25.4,1025,67740,0,2609,2609,0
53016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,53,54,51,12,38,50,63,46,16,3.8,13.9,138,51250,0,384,384,0
53017,15,34,120,173,33,13,35,102,200,45,141,197,365,447,129,154,142,246,420,129,570,356,842,874,192,597,483,960,809,53,41.5,42,2123,106577,2919,2619,5538,0.5270855904658721
53018,NA,17,31,59,10,NA,NA,NA,68,11,NA,85,131,179,41,NA,NA,NA,160,40,685,560,1188,1101,272,985,629,1043,1046,190,55.7,53.4,3105,97482,6148,1751,7899,0.7783263704266363
53019,NA,13,11,16,NA,NA,NA,19,18,NA,NA,37,32,33,NA,NA,NA,48,45,NA,132,155,280,239,73,239,160,269,249,50,11.5,18.2,764,61053,892,1135,2027,0.44005920078934385
53020,NA,12,77,84,23,NA,20,64,106,23,NA,74,181,214,68,NA,67,141,237,57,291,212,515,568,148,197,229,544,595,119,23.3,27.7,1654,63167,0,3500,3500,0
53021,12,36,83,87,20,19,30,88,101,25,127,129,199,183,48,92,96,176,192,59,368,437,734,519,88,497,620,731,516,102,17.4,21.8,1959,82750,0,4709,4709,0
53022,62,270,538,612,208,80,151,540,634,152,670,1034,1491,1447,702,686,732,1202,1300,479,1983,1417,3064,2038,808,1974,1681,3029,1888,442,41.3,38.5,7657,79230,17050,1870,18920,0.9011627906976745
53023,NA,NA,27,29,NA,NA,NA,NA,28,NA,NA,NA,54,70,NA,NA,NA,NA,64,NA,149,121,203,181,29,133,771,714,182,38,7.9,26.2,527,68750,0,1496,1496,0
53024,37,109,243,286,101,43,69,263,275,68,296,409,619,713,337,336,260,498,549,223,1298,1752,2489,2180,638,1378,1682,2243,1620,521,43.8,42.1,6821,75592,13503,3076,16579,0.8144640810664093
53027,61,244,497,457,112,72,165,421,451,105,512,831,1242,1046,378,542,529,898,877,285,2082,2036,3234,2352,864,1628,2210,3231,2356,695,24.6,27.9,8987,68701,14666,7375,22041,0.6653963068826279
53029,NA,56,158,176,30,NA,39,145,207,48,NA,318,560,534,121,NA,192,370,496,147,2337,1633,3550,2083,667,2239,1537,3127,2233,490,47.5,45.6,7738,91435,18795,2004,20799,0.9036492139045147
53031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,4,0,0,3,0,3,0,0,NA,NA,0,NA,0,43,43,0
53032,17,54,122,161,56,20,39,94,152,55,95,150,245,309,141,91,96,187,292,124,530,432,609,538,177,435,387,678,512,162,17.6,17.1,1834,62800,3493,1264,4757,0.7342863149043515
53033,11,32,86,157,49,16,37,99,175,34,114,136,281,387,140,124,122,222,369,116,268,360,735,671,174,314,287,770,725,116,32,34.7,2115,92620,3138,1747,4885,0.642374616171955
53034,NA,18,42,33,NA,NA,NA,31,34,NA,NA,48,72,60,NA,NA,NA,59,63,NA,143,193,256,246,38,190,208,261,213,39,11.3,14.9,686,62708,0,1811,1811,0
53035,NA,18,52,53,NA,10,NA,51,58,NA,NA,60,107,99,NA,52,NA,85,92,NA,227,233,401,240,76,197,258,384,285,36,10,19.1,915,64414,0,2406,2406,0
53036,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,182,243,456,272,43,238,297,500,208,39,23.6,29,1134,75179,950,1770,2720,0.3492647058823529
53037,35,129,348,338,71,52,119,340,331,72,349,486,881,706,251,396,373,713,611,192,811,945,1483,1047,301,855,850,1392,912,171,29.7,26.9,3703,74327,7439,1821,9260,0.8033477321814255
53038,NA,23,66,49,NA,NA,23,49,54,10,NA,71,134,106,NA,NA,53,93,96,33,369,500,595,349,82,347,447,658,385,92,24.8,35,1590,75000,2701,1312,4013,0.6730625467231498
53039,13,33,112,125,42,11,23,85,139,33,64,94,202,242,126,76,66,172,241,94,301,447,593,423,271,462,564,745,416,196,11,17.3,1628,57800,2736,2127,4863,0.5626156693399136
53040,38,155,287,305,89,57,122,355,407,80,332,504,742,706,278,323,377,692,711,230,808,759,1312,844,252,750,663,1284,789,236,19.7,19.7,2980,70938,4007,4057,8064,0.49689980158730157
53042,10,48,106,101,19,17,30,102,102,15,77,139,248,208,47,78,106,210,217,39,589,683,926,802,319,592,751,830,848,197,15.1,14.4,2877,58583,3741,2949,6690,0.5591928251121077
53044,NA,NA,35,42,NA,NA,10,46,51,NA,NA,NA,139,125,NA,NA,45,110,109,NA,350,144,403,322,92,322,148,355,263,85,62.9,59.7,957,79063,2147,150,2297,0.934697431432303
53045,NA,75,201,294,146,NA,58,178,332,91,NA,498,849,989,636,NA,319,516,793,458,2171,1294,2920,3009,1518,1608,1546,2816,2492,1008,65.2,54.9,8482,100438,21515,171,21686,0.9921147283962003
53046,NA,11,37,52,16,NA,NA,23,44,NA,NA,43,81,91,35,NA,NA,56,82,NA,53,125,177,121,51,79,115,177,123,33,18.8,13.9,487,56771,924,183,1107,0.8346883468834688
53047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,18,15,5,0,7,26,14,0,2,21.4,42.9,15,126250,0,78,78,0
