Rank,Team,S,Opp Kills,Opp Errors,Opp Attacks,Opp Pct
1,Colorado St. (Mountain West),105,996,649,"3,325",0.104
2,New Mexico St. (WAC),105,"1,072",675,"3,470",0.114
3,FGCU (ASUN),108,"1,230",709,"3,849",0.135
4,Towson (CAA),103,"1,119",609,"3,657",0.139
5,Wright St. (Horizon),108,"1,279",654,"4,359",0.143
6,SFA (Southland),111,"1,403",752,"4,509",0.144
7,Pittsburgh (ACC),103,"1,098",599,"3,446",0.145
8,Nebraska (Big Ten),106,"1,172",619,"3,703",0.149
9,Kentucky (SEC),104,"1,160",621,"3,586",0.15
10,Creighton (Big East),99,"1,077",555,"3,438",0.152
11,Fairfield (MAAC),107,"1,146",576,"3,749",0.152
12,Rice (C-USA),101,"1,113",554,"3,674",0.152
13,Western Ky. (C-USA),110,"1,174",631,"3,565",0.152
14,Robert Morris (NEC),107,"1,281",662,"4,016",0.154
15,Baylor (Big 12),86,990,522,"2,991",0.156
16,Southeast Mo. St. (OVC),126,"1,605",841,"4,879",0.157
17,BYU (WCC),106,"1,205",655,"3,504",0.157
18,South Dakota (Summit League),104,"1,162",579,"3,714",0.157
19,Army West Point (Patriot),116,"1,328",651,"4,307",0.157
20,High Point (Big South),114,"1,221",604,"3,895",0.158
21,Winthrop (Big South),106,"1,293",641,"4,086",0.16
22,SIUE (OVC),112,"1,366",694,"4,206",0.16
23,Illinois St. (MVC),129,"1,461",701,"4,685",0.162
24,Texas St. (Sun Belt),114,"1,256",640,"3,790",0.163
25,Tulane (AAC),123,"1,443",719,"4,448",0.163
26,Central Mich. (MAC),109,"1,305",632,"4,124",0.163
27,Dayton (Atlantic 10),111,"1,246",632,"3,751",0.164
28,Loyola Chicago (MVC),124,"1,455",711,"4,537",0.164
29,Hawaii (Big West),104,"1,209",610,"3,642",0.164
30,Santa Clara (WCC),115,"1,365",693,"4,057",0.166
31,Cornell (Ivy League),86,931,440,"2,962",0.166
32,Green Bay (Horizon),114,"1,377",656,"4,334",0.166
33,Weber St. (Big Sky),119,"1,466",721,"4,447",0.168
34,VCU (Atlantic 10),108,"1,264",658,"3,592",0.169
35,James Madison (CAA),93,"1,130",583,"3,236",0.169
36,Samford (SoCon),115,"1,295",627,"3,951",0.169
37,American (Patriot),115,"1,321",640,"3,968",0.172
38,Colgate (Patriot),111,"1,324",643,"3,951",0.172
39,Louisville (ACC),105,"1,244",643,"3,484",0.173
40,Washington St. (Pac-12),114,"1,360",657,"4,072",0.173
41,Penn St. (Big Ten),98,"1,132",571,"3,231",0.174
42,UNI (MVC),126,"1,486",668,"4,711",0.174
43,Morehead St. (OVC),115,"1,260",574,"3,937",0.174
44,Arkansas St. (Sun Belt),116,"1,329",616,"4,091",0.174
45,San Diego (WCC),105,"1,136",539,"3,402",0.175
46,Stanford (Pac-12),100,"1,206",574,"3,594",0.176
47,Sacred Heart (NEC),117,"1,327",601,"4,126",0.176
