zip,urban,rural,population,p_urban
53001,0,1901,1901,0
53002,0,2299,2299,0
53003,0,141,141,0
53004,0,3330,3330,0
53005,19425,0,19425,1
53006,0,1779,1779,0
53007,1841,0,1841,1
53010,0,7681,7681,0
53011,0,2260,2260,0
53012,13067,5030,18097,0.7220533790130961
53013,0,3308,3308,0
53014,3590,4372,7962,0.45089173574478775
53015,0,2609,2609,0
53016,0,384,384,0
53017,2919,2619,5538,0.5270855904658721
53018,6148,1751,7899,0.7783263704266363
53019,892,1135,2027,0.44005920078934385
53020,0,3500,3500,0
53021,0,4709,4709,0
53022,17050,1870,18920,0.9011627906976745
53023,0,1496,1496,0
53024,13503,3076,16579,0.8144640810664093
53027,14666,7375,22041,0.6653963068826279
53029,18795,2004,20799,0.9036492139045147
53031,0,43,43,0
53032,3493,1264,4757,0.7342863149043515
53033,3138,1747,4885,0.642374616171955
53034,0,1811,1811,0
53035,0,2406,2406,0
53036,950,1770,2720,0.3492647058823529
53037,7439,1821,9260,0.8033477321814255
53038,2701,1312,4013,0.6730625467231498
53039,2736,2127,4863,0.5626156693399136
53040,4007,4057,8064,0.49689980158730157
53042,3741,2949,6690,0.5591928251121077
53044,2147,150,2297,0.934697431432303
53045,21515,171,21686,0.9921147283962003
53046,924,183,1107,0.8346883468834688
53047,0,78,78,0
53048,0,3364,3364,0
53049,305,2146,2451,0.12443900448796409
53050,5134,1852,6986,0.7348983681649013
53051,33459,2192,35651,0.9385150486662366
53057,0,1928,1928,0
53058,2679,564,3243,0.8260869565217391
53059,0,1767,1767,0
53061,3171,2025,5196,0.6102771362586605
53063,0,1552,1552,0
53065,0,2226,2226,0
53066,25176,8654,33830,0.7441915459651197
53069,697,0,697,1
53070,2724,1989,4713,0.5779758115849777
53072,23224,683,23907,0.9714309616430334
53073,8799,6958,15757,0.5584184806752555
53074,11419,1461,12880,0.8865683229813665
53075,0,3345,3345,0
53076,676,2972,3648,0.18530701754385964
53078,0,1912,1912,0
53079,0,1413,1413,0
53080,4151,1564,5715,0.726334208223972
53081,42584,545,43129,0.9873634909225811
53083,18841,1521,20362,0.9253020331990963
53085,7741,3526,11267,0.6870506789739949
53086,5858,2397,8255,0.7096305269533616
53088,0,379,379,0
53089,16769,1799,18568,0.9031128823782852
53090,15779,6094,21873,0.7213916700955516
53091,0,2018,2018,0
53092,19467,557,20024,0.9721833799440671
53093,0,1981,1981,0
53094,15070,4099,19169,0.7861651625019563
53095,20695,6444,27139,0.7625557316039647
53097,3198,3121,6319,0.5060927361924356
53098,8278,3687,11965,0.6918512327622232
53103,2365,1359,3724,0.6350698174006445
53104,1967,3459,5426,0.36251382233689644
53105,16288,12937,29225,0.5573310521813516
53108,433,2896,3329,0.1300690898167618
53110,18320,0,18320,1
53114,1552,1126,2678,0.5795369678864825
53115,10647,5141,15788,0.6743729414745376
53118,3058,4144,7202,0.4246042765898362
53119,2790,2818,5608,0.4975035663338088
53120,5479,4200,9679,0.5660708750904019
53121,12484,6561,19045,0.6555001312680494
53122,5985,0,5985,1
53125,1341,554,1895,0.7076517150395778
53126,1529,4902,6431,0.2377546260301664
53128,7587,1360,8947,0.8479937409187437
53129,13973,0,13973,1
53130,7755,0,7755,1
53132,33334,1529,34863,0.9561426153802025
53137,0,1702,1702,0
53139,1066,1736,2802,0.3804425410421128
53140,29753,264,30017,0.9912049838424892
53142,31696,679,32375,0.979027027027027
53143,23264,0,23264,1
53144,24381,2875,27256,0.8945186380980334
53146,5313,2145,7458,0.7123893805309734
53147,12120,4337,16457,0.7364647262563043
53149,14070,4987,19057,0.73831138164454
53150,23025,1825,24850,0.9265593561368209
53151,31987,0,31987,1
