index,date,team1,conference1,team2,conference2,site,s1_1,s1_2,s1_3,s1_4,s1_5,sets_1,s2_1,s2_2,s2_3,s2_4,s2_5,sets_2,winner,loser,attendance
1,2019-08-30,Northeastern,CAA,Green Bay,Horizon,NA,16,28,25,23,NA,1,25,26,27,25,NA,3,Green Bay,Northeastern,210
2,2019-08-30,South Carolina St.,MEAC,Texas Southern,SWAC,"@Montgomery, Ala.",25,25,12,18,17,2,21,20,25,25,19,3,Texas Southern,South Carolina St.,0
3,2019-08-30,UNLV,Mountain West,Weber St.,Big Sky,NA,22,26,17,23,NA,1,25,24,25,25,NA,3,Weber St.,UNLV,106
4,2019-08-30,SIUE,OVC,UC Riverside,Big West,"@DeKalb, IL",17,20,18,NA,NA,0,25,25,25,NA,NA,3,UC Riverside,SIUE,75
5,2019-08-30,Temple,AAC,Fairfield,MAAC,"@Baltimore, MD",25,25,25,NA,NA,3,20,15,13,NA,NA,0,Temple,Fairfield,0
6,2019-08-30,Washington St.,Pac-12,James Madison,CAA,NA,25,25,25,NA,NA,3,20,13,16,NA,NA,0,Washington St.,James Madison,0
7,2019-08-30,Niagara,MAAC,Stetson,ASUN,"@Boca Raton, FL",17,14,16,NA,NA,0,25,25,25,NA,NA,3,Stetson,Niagara,0
8,2019-08-30,Howard,MEAC,Hartford,America East,"@Washington, DC",25,25,25,NA,NA,3,23,23,20,NA,NA,0,Howard,Hartford,0
9,2019-08-30,South Carolina,SEC,Cincinnati,AAC,"@Pittsburgh, PA",21,25,20,21,NA,1,25,18,25,25,NA,3,Cincinnati,South Carolina,272
10,2019-08-30,William & Mary,CAA,Quinnipiac,MAAC,"@Baltimore, MD",25,23,25,17,15,3,15,25,21,25,10,2,William & Mary,Quinnipiac,0
11,2019-08-30,Loyola Maryland,Patriot,Furman,SoCon,"@Charlottesville, VA",22,25,25,25,15,3,25,14,23,27,11,2,Loyola Maryland,Furman,125
12,2019-08-30,Gardner-Webb,Big South,Charlotte,C-USA,NA,8,6,15,NA,NA,0,25,25,25,NA,NA,3,Charlotte,Gardner-Webb,0
13,2019-08-30,Marist,MAAC,Alabama,SEC,"@Buffalo, NY",20,19,17,NA,NA,0,25,25,25,NA,NA,3,Alabama,Marist,103
14,2019-08-30,UT Martin,OVC,Marshall,C-USA,"@Bloomington, IN",19,20,23,NA,NA,0,25,25,25,NA,NA,3,Marshall,UT Martin,212
15,2019-08-30,UAB,C-USA,Ball St.,MAC,NA,29,23,20,NA,NA,0,31,25,25,NA,NA,3,Ball St.,UAB,346
16,2019-08-30,Milwaukee,Horizon,Arkansas St.,Sun Belt,"@Nashville, TN",25,17,18,25,15,3,15,25,25,14,10,2,Milwaukee,Arkansas St.,0
17,2019-08-30,Texas Tech,Big 12,VCU,Atlantic 10,"@Columbus, OH",25,25,25,NA,NA,3,17,20,19,NA,NA,0,Texas Tech,VCU,76
18,2019-08-30,Illinois St.,MVC,North Texas,C-USA,NA,16,25,25,25,NA,3,25,20,18,11,NA,1,Illinois St.,North Texas,0
19,2019-08-30,Akron,MAC,San Diego St.,Mountain West,"@Fort Myers, FL",20,19,18,NA,NA,0,25,25,25,NA,NA,3,San Diego St.,Akron,0
20,2019-08-30,Oakland,Horizon,Michigan,Big Ten,NA,18,23,8,NA,NA,0,25,25,25,NA,NA,3,Michigan,Oakland,0
21,2019-08-30,Western Mich.,MAC,South Alabama,Sun Belt,"@Fort Wayne, IN",25,25,25,NA,NA,3,11,14,16,NA,NA,0,Western Mich.,South Alabama,180
22,2019-08-30,Central Ark.,Southland,Rider,MAAC,"@Washington, DC",15,25,20,25,15,3,25,16,25,15,8,2,Central Ark.,Rider,101
23,2019-08-30,Idaho St.,Big Sky,Albany (NY),America East,"@Omaha, NE",25,25,24,25,NA,3,22,21,26,13,NA,1,Idaho St.,Albany (NY),103
24,2019-08-30,DePaul,Big East,Jacksonville,ASUN,"@Springfield, MO",25,23,25,25,NA,3,15,25,18,20,NA,1,DePaul,Jacksonville,78
25,2019-08-30,UT Arlington,Sun Belt,A&M-Corpus Christi,Southland,"@Houston, TX",7,25,21,25,16,3,25,15,25,16,14,2,UT Arlington,A&M-Corpus Christi,50
26,2019-08-30,UTRGV,WAC,Radford,Big South,"@Houston, TX",23,17,20,NA,NA,0,25,25,25,NA,NA,3,Radford,UTRGV,102
27,2019-08-30,Lipscomb,ASUN,High Point,Big South,"@Fort Worth, TX",21,20,19,NA,NA,0,25,25,25,NA,NA,3,High Point,Lipscomb,0
28,2019-08-30,UTSA,C-USA,SFA,Southland,"@Dallas, TX",20,29,14,17,NA,1,25,27,25,25,NA,3,SFA,UTSA,232
29,2019-08-30,Virginia Tech,ACC,USC Upstate,Big South,"@Oxford, OH",25,25,25,25,NA,3,11,27,22,12,NA,1,Virginia Tech,USC Upstate,0
30,2019-08-30,Troy,Sun Belt,Southeastern La.,Southland,"@Jacksonville, AL",25,25,26,NA,NA,3,14,23,24,NA,NA,0,Troy,Southeastern La.,52
31,2019-08-30,New Mexico St.,WAC,Butler,Big East,"@Auburn, AL",25,25,25,NA,NA,3,14,18,17,NA,NA,0,New Mexico St.,Butler,0
32,2019-08-30,Texas Southern,SWAC,Florida A&M,MEAC,"@Montgomery, AL",16,14,23,NA,NA,0,25,25,25,NA,NA,3,Florida A&M,Texas Southern,63
33,2019-08-30,Manhattan,MAAC,Robert Morris,NEC,NA,15,19,17,NA,NA,0,25,25,25,NA,NA,3,Robert Morris,Manhattan,127
34,2019-08-30,North Dakota,Summit League,New Orleans,Southland,NA,25,18,28,18,NA,1,27,25,26,25,NA,3,New Orleans,North Dakota,336
35,2019-08-30,Navy,Patriot,Air Force,Mountain West,"@Washington, DC",25,25,25,NA,NA,3,21,21,21,NA,NA,0,Navy,Air Force,100
36,2019-08-30,Utah Valley,WAC,Marquette,Big East,"@Provo, UT",14,18,21,NA,NA,0,25,25,25,NA,NA,3,Marquette,Utah Valley,0
37,2019-08-30,Little Rock,Sun Belt,Montana St.,Big Sky,"@Fayetteville, AR",11,11,21,NA,NA,0,25,25,25,NA,NA,3,Montana St.,Little Rock,63
38,2019-08-30,Tulane,AAC,UTEP,C-USA,"@Lafayette, LA",25,25,25,NA,NA,3,11,18,18,NA,NA,0,Tulane,UTEP,84
39,2019-08-30,American,Patriot,George Washington,Atlantic 10,NA,25,25,23,25,NA,3,23,18,25,15,NA,1,American,George Washington,406
40,2019-08-30,Nicholls St.,Southland,Mercer,SoCon,NA,17,25,25,25,NA,3,25,23,19,23,NA,1,Nicholls St.,Mercer,80
41,2019-08-30,Lehigh,Patriot,Ohio St.,Big Ten,NA,17,20,14,NA,NA,0,25,25,25,NA,NA,3,Ohio St.,Lehigh,1374
42,2019-08-30,Kent St.,MAC,Eastern Ky.,OVC,"@Charlotte, NC",25,25,25,NA,NA,3,23,19,17,NA,NA,0,Kent St.,Eastern Ky.,0
43,2019-08-30,Tulsa,AAC,Pepperdine,WCC,"@Denton, TX",26,18,25,18,15,3,24,25,23,25,11,2,Tulsa,Pepperdine,0
44,2019-08-30,FIU,C-USA,Indiana,Big Ten,NA,26,14,12,16,NA,1,24,25,25,25,NA,3,Indiana,FIU,0
45,2019-08-30,North Florida,ASUN,Charleston So.,Big South,"@Wilmington, NC",25,25,26,NA,NA,3,18,13,24,NA,NA,0,North Florida,Charleston So.,100
46,2019-08-30,Rutgers,Big Ten,New Mexico,Mountain West,"@Greeley, CO",17,12,22,NA,NA,0,25,25,25,NA,NA,3,New Mexico,Rutgers,0
47,2019-08-30,UConn,AAC,Gonzaga,WCC,"@Arlington, VA",16,14,21,NA,NA,0,25,25,25,NA,NA,3,Gonzaga,UConn,50
48,2019-08-30,UMES,MEAC,Central Mich.,MAC,"@Brooklyn, NY",15,25,22,11,NA,1,25,22,25,25,NA,3,Central Mich.,UMES,86
49,2019-08-30,Cleveland St.,Horizon,Pittsburgh,ACC,NA,14,19,22,NA,NA,0,25,25,25,NA,NA,3,Pittsburgh,Cleveland St.,302
50,2019-08-30,Stony Brook,America East,Iowa,Big Ten,"@Harrisonburg, VA",14,25,16,15,NA,1,25,21,25,25,NA,3,Iowa,Stony Brook,0
51,2019-08-30,Austin Peay,OVC,NC State,ACC,NA,14,13,24,NA,NA,0,25,25,26,NA,NA,3,NC State,Austin Peay,76
52,2019-08-30,Chattanooga,SoCon,Mississippi St.,SEC,NA,18,25,22,19,NA,1,25,20,25,25,NA,3,Mississippi St.,Chattanooga,0
53,2019-08-30,Tennessee Tech,OVC,Northern Ariz.,Big Sky,"@Ann Arbor, MI",21,21,20,NA,NA,0,25,25,25,NA,NA,3,Northern Ariz.,Tennessee Tech,0
54,2019-08-30,Grambling,SWAC,Fla. Atlantic,C-USA,NA,6,11,19,NA,NA,0,25,25,25,NA,NA,3,Fla. Atlantic,Grambling,0
55,2019-08-30,Lafayette,Patriot,UMBC,America East,NA,18,22,25,23,NA,1,25,25,13,25,NA,3,UMBC,Lafayette,240
56,2019-08-30,CSUN,Big West,Portland,WCC,"@Ogden, UT",25,20,23,26,NA,1,21,25,25,28,NA,3,Portland,CSUN,65
57,2019-08-30,Montana,Big Sky,UC Davis,Big West,NA,13,17,19,NA,NA,0,25,25,25,NA,NA,3,UC Davis,Montana,0
58,2019-08-30,Campbell,Big South,Ga. Southern,Sun Belt,"@Macon, GA",11,16,17,NA,NA,0,25,25,25,NA,NA,3,Ga. Southern,Campbell,60
59,2019-08-30,Drake,MVC,Memphis,AAC,"@Charleston, Ill.",25,15,23,20,NA,1,18,25,25,25,NA,3,Memphis,Drake,120
60,2019-08-30,Fairleigh Dickinson,NEC,Northern Ill.,MAC,NA,21,25,14,25,NA,1,25,18,25,27,NA,3,Northern Ill.,Fairleigh Dickinson,0
61,2019-08-30,Seton Hall,Big East,Morgan St.,MEAC,NA,18,25,23,25,5,2,25,19,25,22,15,3,Morgan St.,Seton Hall,0
62,2019-08-30,Appalachian St.,Sun Belt,Arizona,Pac-12,NA,12,19,14,NA,NA,0,25,25,25,NA,NA,3,Arizona,Appalachian St.,614
63,2019-08-30,Northwestern St.,Southland,Arkansas,SEC,NA,18,20,18,NA,NA,0,25,25,25,NA,NA,3,Arkansas,Northwestern St.,304
64,2019-08-30,CSU Bakersfield,WAC,Nevada,Mountain West,"@Sacramento, CA",25,14,16,21,NA,1,21,25,25,25,NA,3,Nevada,CSU Bakersfield,106
65,2019-08-30,Morehead St.,OVC,Winthrop,Big South,NA,25,25,21,17,15,2,16,19,25,25,17,3,Winthrop,Morehead St.,188
66,2019-08-30,Chicago St.,WAC,Colorado St.,Mountain West,NA,7,16,17,NA,NA,0,25,25,25,NA,NA,3,Colorado St.,Chicago St.,1503
67,2019-08-30,Liberty,ASUN,Texas St.,Sun Belt,NA,13,26,21,18,NA,1,25,24,25,25,NA,3,Texas St.,Liberty,778
68,2019-08-30,Tennessee St.,OVC,Auburn,SEC,NA,25,17,25,13,15,3,21,25,22,25,11,2,Tennessee St.,Auburn,397
69,2019-08-30,Kentucky,SEC,Cal Poly,Big West,"@Salt Lake City, UT",25,25,25,NA,NA,3,21,9,20,NA,NA,0,Kentucky,Cal Poly,1134
70,2019-08-30,ETSU,SoCon,Jacksonville St.,OVC,NA,25,23,25,25,NA,3,23,25,22,23,NA,1,ETSU,Jacksonville St.,102
71,2019-08-30,Arizona St.,Pac-12,Houston,AAC,NA,25,23,25,25,NA,3,23,25,16,21,NA,1,Arizona St.,Houston,0
72,2019-08-30,Abilene Christian,Southland,Omaha,Summit League,NA,23,11,18,NA,NA,0,25,25,25,NA,NA,3,Omaha,Abilene Christian,304
73,2019-08-30,Bradley,MVC,SMU,AAC,NA,23,17,18,NA,NA,0,25,25,25,NA,NA,3,SMU,Bradley,443
74,2019-08-30,Bethune-Cookman,MEAC,Houston Baptist,Southland,NA,16,17,19,NA,NA,0,25,25,25,NA,NA,3,Houston Baptist,Bethune-Cookman,230
75,2019-08-30,South Fla.,AAC,UAB,C-USA,"@Muncie, IN",21,25,25,25,NA,3,25,17,22,22,NA,1,South Fla.,UAB,0
76,2019-08-30,Saint Mary's (CA),WCC,Utah,Pac-12,NA,20,24,18,NA,NA,0,25,26,25,NA,NA,3,Utah,Saint Mary's (CA),1431
77,2019-08-30,Oregon St.,Pac-12,UC Irvine,Big West,"@Eugene, OR",25,25,25,NA,NA,3,12,22,11,NA,NA,0,Oregon St.,UC Irvine,0
78,2019-08-30,Boise St.,Mountain West,BYU,WCC,NA,13,21,17,NA,NA,0,25,25,25,NA,NA,3,BYU,Boise St.,750
79,2019-08-30,Eastern Mich.,MAC,Utah St.,Mountain West,NA,13,25,21,27,15,3,25,20,25,25,10,2,Eastern Mich.,Utah St.,252
80,2019-08-30,South Carolina St.,MEAC,Alabama St.,SWAC,NA,16,16,18,NA,NA,0,25,25,25,NA,NA,3,Alabama St.,South Carolina St.,50
