date,team1,team2,site,s1_1,s1_2,s1_3,s1_4,s1_5,sets_1,s2_1,s2_2,s2_3,s2_4,s2_5,sets_2,winner,loser,attendance
2019-08-30,Northeastern,Green Bay,,16,28,25,23,NA,1,25,26,27,25,NA,3,Green Bay,Northeastern,210
2019-08-30,South Carolina St.,Texas Southern,"@Montgomery, Ala.",25,25,12,18,17,2,21,20,25,25,19,3,Texas Southern,South Carolina St.,0
2019-08-30,UNLV,Weber St.,,22,26,17,23,NA,1,25,24,25,25,NA,3,Weber St.,UNLV,106
2019-08-30,SIUE,UC Riverside,"@DeKalb, IL",17,20,18,NA,NA,0,25,25,25,NA,NA,3,UC Riverside,SIUE,75
2019-08-30,Temple,Fairfield,"@Baltimore, MD",25,25,25,NA,NA,3,20,15,13,NA,NA,0,Temple,Fairfield,0
2019-08-30,Washington St.,James Madison,,25,25,25,NA,NA,3,20,13,16,NA,NA,0,Washington St.,James Madison,0
2019-08-30,Niagara,Stetson,"@Boca Raton, FL",17,14,16,NA,NA,0,25,25,25,NA,NA,3,Stetson,Niagara,0
2019-08-30,Howard,Hartford,"@Washington, DC",25,25,25,NA,NA,3,23,23,20,NA,NA,0,Howard,Hartford,0
2019-08-30,South Carolina,Cincinnati,"@Pittsburgh, PA",21,25,20,21,NA,1,25,18,25,25,NA,3,Cincinnati,South Carolina,272
2019-08-30,William & Mary,Quinnipiac,"@Baltimore, MD",25,23,25,17,15,3,15,25,21,25,10,2,William & Mary,Quinnipiac,0
2019-08-30,Loyola Maryland,Furman,"@Charlottesville, VA",22,25,25,25,15,3,25,14,23,27,11,2,Loyola Maryland,Furman,125
2019-08-30,Gardner-Webb,Charlotte,,8,6,15,NA,NA,0,25,25,25,NA,NA,3,Charlotte,Gardner-Webb,0
2019-08-30,Marist,Alabama,"@Buffalo, NY",20,19,17,NA,NA,0,25,25,25,NA,NA,3,Alabama,Marist,103
2019-08-30,UT Martin,Marshall,"@Bloomington, IN",19,20,23,NA,NA,0,25,25,25,NA,NA,3,Marshall,UT Martin,212
2019-08-30,UAB,Ball St.,,29,23,20,NA,NA,0,31,25,25,NA,NA,3,Ball St.,UAB,346
2019-08-30,Milwaukee,Arkansas St.,"@Nashville, TN",25,17,18,25,15,3,15,25,25,14,10,2,Milwaukee,Arkansas St.,0
2019-08-30,Texas Tech,VCU,"@Columbus, OH",25,25,25,NA,NA,3,17,20,19,NA,NA,0,Texas Tech,VCU,76
2019-08-30,Illinois St.,North Texas,,16,25,25,25,NA,3,25,20,18,11,NA,1,Illinois St.,North Texas,0
2019-08-30,Akron,San Diego St.,"@Fort Myers, FL",20,19,18,NA,NA,0,25,25,25,NA,NA,3,San Diego St.,Akron,0
2019-08-30,Oakland,Michigan,,18,23,8,NA,NA,0,25,25,25,NA,NA,3,Michigan,Oakland,0
2019-08-30,Western Mich.,South Alabama,"@Fort Wayne, IN",25,26,25,NA,NA,3,11,14,16,NA,NA,0,Western Mich.,South Alabama,180
2019-08-30,Central Ark.,Rider,"@Washington, DC",15,25,20,25,15,3,25,16,25,15,8,2,Central Ark.,Rider,101
2019-08-30,Idaho St.,Albany (NY),"@Omaha, NE",25,25,24,25,NA,3,22,21,26,13,NA,1,Idaho St.,Albany (NY),103
2019-08-30,DePaul,Jacksonville,"@Springfield, MO",25,23,25,25,NA,3,15,25,18,20,NA,1,DePaul,Jacksonville,78
2019-08-30,UT Arlington,A&M-Corpus Christi,"@Houston, TX",7,25,21,25,16,3,25,15,25,16,14,2,UT Arlington,A&M-Corpus Christi,50
2019-08-30,UTRGV,Radford,"@Houston, TX",23,17,20,NA,NA,0,25,25,25,NA,NA,3,Radford,UTRGV,102
2019-08-30,Lipscomb,High Point,"@Fort Worth, TX",21,20,19,NA,NA,0,25,25,25,NA,NA,3,High Point,Lipscomb,0
2019-08-30,UTSA,SFA,"@Dallas, TX",20,29,14,17,NA,1,25,27,25,25,NA,3,SFA,UTSA,232
2019-08-30,Virginia Tech,USC Upstate,"@Oxford, OH",25,25,25,25,NA,3,11,27,22,12,NA,1,Virginia Tech,USC Upstate,0
2019-08-30,Troy,Southeastern La.,"@Jacksonville, AL",25,25,26,NA,NA,3,14,23,24,NA,NA,0,Troy,Southeastern La.,52
2019-08-30,New Mexico St.,Butler,"@Auburn, AL",25,25,25,NA,NA,3,14,18,17,NA,NA,0,New Mexico St.,Butler,0
2019-08-30,Texas Southern,Florida A&M,"@Montgomery, AL",16,14,23,NA,NA,0,25,25,25,NA,NA,3,Florida A&M,Texas Southern,63
2019-08-30,Manhattan,Robert Morris,,15,19,17,NA,NA,0,25,25,25,NA,NA,3,Robert Morris,Manhattan,127
2019-08-30,North Dakota,New Orleans,,25,18,28,18,NA,1,27,25,26,25,NA,3,New Orleans,North Dakota,336
