Team,Conference,W,L,Win_pct,Sets,Aces,Assists,Block Solos,Block Assists,Digs,Kills,Errors,Total Attacks,Hit_pct,Opp Kills,Opp Errors,Opp Attacks,Opp_pct
A&M-Corpus Christi ,Southland,19,12,0.6129032258064516,117,184,1421,40,184,1830,1524,558,4141,0.2332769862352089,1455,533,4059,0.22714954422271497
Abilene Christian ,Southland,7,19,0.2692307692307692,93,101,979,24,343,1318,1054,449,3191,0.189595738013162,1363,510,3442,0.24782103428239396
Air Force ,Mountain West,8,22,0.26666666666666666,114,153,1299,34,289,1556,1375,767,3991,0.15234277123527937,1369,531,3726,0.22490606548577563
Akron ,MAC,16,12,0.5714285714285714,103,160,1208,56,290,1695,1325,556,3742,0.2055050774986638,1260,568,3764,0.18384697130712008
Alabama ,SEC,12,17,0.41379310344827586,105,121,1142,68,352,1396,1235,534,3484,0.20120551090700345,1411,562,3579,0.2372170997485331
Alabama A&M ,SWAC,18,14,0.5625,111,145,1158,78,238,1579,1332,480,3608,0.2361419068736142,1405,670,4013,0.18315474707201596
Alabama St. ,SWAC,17,21,0.4473684210526316,139,198,1498,98,279,1832,1680,761,4496,0.20440391459074733,1601,712,4451,0.1997303976634464
Albany (NY) ,America East,16,10,0.6153846153846154,96,139,1060,52,418,1238,1163,490,3138,0.21446781389420014,1197,550,3258,0.19858809085328422
Alcorn ,SWAC,7,23,0.23333333333333334,102,153,800,35,186,1233,913,601,3161,0.09870294210692819,1175,469,3070,0.22996742671009773
American ,Patriot,24,7,0.7741935483870968,115,226,1369,55,370,1721,1536,498,3974,0.26119778560644186,1321,640,3968,0.17162298387096775
Appalachian St. ,Sun Belt,13,17,0.43333333333333335,116,166,1352,75,272,1642,1485,655,4177,0.19870720612880058,1451,566,3907,0.22651650883030458
Arizona ,Pac-12,15,17,0.46875,117,112,1378,79,308,1723,1520,574,4046,0.2338111715274345,1514,608,4124,0.21968962172647916
Arizona St. ,Pac-12,17,14,0.5483870967741935,124,141,1451,91,303,1963,1548,600,4415,0.214722536806342,1604,643,4482,0.21441320838911201
Ark.-Pine Bluff ,SWAC,10,24,0.29411764705882354,124,187,1133,93,210,1670,1292,656,4404,0.1444141689373297,1498,634,4436,0.19477006311992787
Arkansas ,SEC,11,19,0.36666666666666664,113,151,1287,37,358,1437,1374,654,3796,0.18967334035827185,1400,551,3631,0.23381988432938586
Arkansas St. ,Sun Belt,17,13,0.5666666666666667,116,163,1326,78,324,1799,1473,653,4198,0.19533111005240592,1329,616,4091,0.17428501588853582
