Id,Id2,Geography,Percent; Estimate; Population 25 years and over,Percent Males; Estimate; Population 25 years and over,Percent Females; Estimate; Population 25 years and over,Percent; Estimate; Population 25 years and over - Less than 9th grade,Percent Males; Estimate; Population 25 years and over - Less than 9th grade,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma","Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Males; Estimate; Population 25 years and over - High school graduate (includes equivalency),Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Percent; Estimate; Population 25 years and over - Some college, no degree","Percent Males; Estimate; Population 25 years and over - Some college, no degree","Percent Females; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent Males; Estimate; Population 25 years and over - Associate's degree,Percent Females; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent Males; Estimate; Population 25 years and over - Bachelor's degree,Percent Females; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent Males; Estimate; Population 25 years and over - Graduate or professional degree,Percent Females; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent high school graduate or higher,Percent Males; Estimate; Percent high school graduate or higher,Percent Females; Estimate; Percent high school graduate or higher,Percent; Estimate; Percent bachelor's degree or higher,Percent Males; Estimate; Percent bachelor's degree or higher,Percent Females; Estimate; Percent bachelor's degree or higher
8600000US53001,53001,ZCTA5 53001,(X),(X),(X),2.1,3.7,0.5,3.0,4.1,1.8,44.4,46.8,41.9,18.6,21.1,15.9,14.0,11.2,17.0,13.9,9.9,18.0,4.0,3.1,5.0,94.9,92.2,97.7,17.9,13.0,23.0
8600000US53002,53002,ZCTA5 53002,(X),(X),(X),0.8,0.8,0.9,2.8,2.9,2.6,35.3,44.9,26.3,26.6,26.4,26.7,13.6,8.7,18.0,17.3,13.9,20.5,3.7,2.4,4.9,96.4,96.2,96.5,21.0,16.2,25.4
8600000US53003,53003,ZCTA5 53003,(X),(X),(X),4.5,0.0,9.4,9.8,18.6,0.0,51.8,66.1,35.8,18.8,8.5,30.2,7.1,0.0,15.1,4.5,0.0,9.4,3.6,6.8,0.0,85.7,81.4,90.6,8.0,6.8,9.4
8600000US53004,53004,ZCTA5 53004,(X),(X),(X),2.7,2.5,3.0,3.7,3.0,4.4,34.8,40.0,29.6,19.2,21.7,16.7,14.5,9.5,19.4,17.6,18.8,16.5,7.4,4.5,10.3,93.5,94.5,92.6,25.1,23.3,26.8
8600000US53005,53005,ZCTA5 53005,(X),(X),(X),1.5,1.2,1.7,2.0,1.9,2.0,16.5,14.2,18.5,17.6,20.2,15.2,7.7,6.8,8.6,33.5,32.0,34.9,21.2,23.6,19.1,96.5,96.9,96.3,54.7,55.6,53.9
8600000US53006,53006,ZCTA5 53006,(X),(X),(X),1.4,1.0,1.8,7.5,6.7,8.4,42.2,49.5,34.6,15.0,17.5,12.4,12.8,9.9,15.9,14.7,11.0,18.6,6.3,4.5,8.2,91.1,92.4,89.8,21.0,15.4,26.8
8600000US53007,53007,ZCTA5 53007,(X),(X),(X),2.0,0.6,3.4,5.0,4.4,5.7,34.8,32.2,37.4,21.4,25.0,17.6,9.7,12.8,6.5,22.5,22.3,22.8,4.7,2.8,6.7,93.0,95.0,90.9,27.2,25.0,29.5
8600000US53010,53010,ZCTA5 53010,(X),(X),(X),2.5,3.0,2.1,7.0,8.7,5.3,45.2,48.3,41.9,19.6,19.5,19.8,10.5,8.5,12.8,10.6,9.0,12.3,4.5,3.1,6.0,90.4,88.3,92.7,15.1,12.0,18.3
8600000US53011,53011,ZCTA5 53011,(X),(X),(X),2.2,2.7,1.6,4.6,5.1,4.1,40.6,42.4,38.8,23.1,20.0,26.4,11.9,13.0,10.8,13.8,13.0,14.7,3.8,3.9,3.6,93.2,92.2,94.3,17.5,16.8,18.3
8600000US53012,53012,ZCTA5 53012,(X),(X),(X),0.8,1.3,0.4,1.7,1.1,2.3,20.9,18.9,22.9,16.7,16.0,17.4,9.1,9.4,8.9,33.2,34.2,32.2,17.5,19.1,15.9,97.5,97.6,97.3,50.7,53.4,48.1
