Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
8600000US53001,53001,ZCTA5 53001,1901,0,0,0,1901,0
8600000US53002,53002,ZCTA5 53002,2299,0,0,0,2299,0
8600000US53003,53003,ZCTA5 53003,141,0,0,0,141,0
8600000US53004,53004,ZCTA5 53004,3330,0,0,0,3330,0
8600000US53005,53005,ZCTA5 53005,19425,19425,19425,0,0,0
8600000US53006,53006,ZCTA5 53006,1779,0,0,0,1779,0
8600000US53007,53007,ZCTA5 53007,1841,1841,1841,0,0,0
8600000US53010,53010,ZCTA5 53010,7681,0,0,0,7681,0
8600000US53011,53011,ZCTA5 53011,2260,0,0,0,2260,0
8600000US53012,53012,ZCTA5 53012,18097,13067,13067,0,5030,0
8600000US53013,53013,ZCTA5 53013,3308,0,0,0,3308,0
8600000US53014,53014,ZCTA5 53014,7962,3590,0,3590,4372,0
8600000US53015,53015,ZCTA5 53015,2609,0,0,0,2609,0
8600000US53016,53016,ZCTA5 53016,384,0,0,0,384,0
8600000US53017,53017,ZCTA5 53017,5538,2919,2919,0,2619,0
8600000US53018,53018,ZCTA5 53018,7899,6148,6148,0,1751,0
8600000US53019,53019,ZCTA5 53019,2027,892,892,0,1135,0
8600000US53020,53020,ZCTA5 53020,3500,0,0,0,3500,0
8600000US53021,53021,ZCTA5 53021,4709,0,0,0,4709,0
8600000US53022,53022,ZCTA5 53022,18920,17050,17050,0,1870,0
8600000US53023,53023,ZCTA5 53023,1496,0,0,0,1496,0
8600000US53024,53024,ZCTA5 53024,16579,13503,13503,0,3076,0
8600000US53027,53027,ZCTA5 53027,22041,14666,14666,0,7375,0
8600000US53029,53029,ZCTA5 53029,20799,18795,18795,0,2004,0
8600000US53031,53031,ZCTA5 53031,43,0,0,0,43,0
8600000US53032,53032,ZCTA5 53032,4757,3493,0,3493,1264,0
8600000US53033,53033,ZCTA5 53033,4885,3138,3138,0,1747,0
8600000US53034,53034,ZCTA5 53034,1811,0,0,0,1811,0
8600000US53035,53035,ZCTA5 53035,2406,0,0,0,2406,0
8600000US53036,53036,ZCTA5 53036,2720,950,950,0,1770,0
8600000US53037,53037,ZCTA5 53037,9260,7439,7439,0,1821,0
8600000US53038,53038,ZCTA5 53038,4013,2701,0,2701,1312,0
8600000US53039,53039,ZCTA5 53039,4863,2736,0,2736,2127,0
8600000US53040,53040,ZCTA5 53040,8064,4007,4007,0,4057,0
8600000US53042,53042,ZCTA5 53042,6690,3741,0,3741,2949,0
8600000US53044,53044,ZCTA5 53044,2297,2147,2147,0,150,0
8600000US53045,53045,ZCTA5 53045,21686,21515,21515,0,171,0
8600000US53046,53046,ZCTA5 53046,1107,924,924,0,183,0
8600000US53047,53047,ZCTA5 53047,78,0,0,0,78,0
8600000US53048,53048,ZCTA5 53048,3364,0,0,0,3364,0
8600000US53049,53049,ZCTA5 53049,2451,305,305,0,2146,0
8600000US53050,53050,ZCTA5 53050,6986,5134,0,5134,1852,0
8600000US53051,53051,ZCTA5 53051,35651,33459,33459,0,2192,0
8600000US53057,53057,ZCTA5 53057,1928,0,0,0,1928,0
8600000US53058,53058,ZCTA5 53058,3243,2679,2679,0,564,0
8600000US53059,53059,ZCTA5 53059,1767,0,0,0,1767,0
8600000US53061,53061,ZCTA5 53061,5196,3171,0,3171,2025,0
8600000US53063,53063,ZCTA5 53063,1552,0,0,0,1552,0
8600000US53065,53065,ZCTA5 53065,2226,0,0,0,2226,0
8600000US53066,53066,ZCTA5 53066,33830,25176,25176,0,8654,0
8600000US53069,53069,ZCTA5 53069,697,697,697,0,0,0
8600000US53070,53070,ZCTA5 53070,4713,2724,0,2724,1989,0
8600000US53072,53072,ZCTA5 53072,23907,23224,23224,0,683,0
8600000US53073,53073,ZCTA5 53073,15757,8799,0,8799,6958,0
8600000US53074,53074,ZCTA5 53074,12880,11419,11419,0,1461,0
8600000US53075,53075,ZCTA5 53075,3345,0,0,0,3345,0
8600000US53076,53076,ZCTA5 53076,3648,676,676,0,2972,0
8600000US53078,53078,ZCTA5 53078,1912,0,0,0,1912,0
8600000US53079,53079,ZCTA5 53079,1413,0,0,0,1413,0
8600000US53080,53080,ZCTA5 53080,5715,4151,4151,0,1564,0
8600000US53081,53081,ZCTA5 53081,43129,42584,42584,0,545,0
8600000US53083,53083,ZCTA5 53083,20362,18841,18841,0,1521,0
