Rank,Team,W,L,Pct.
1,SFA (Southland),31,1,0.969
1,Western Ky. (C-USA),31,1,0.969
3,Colorado St. (Mountain West),29,1,0.967
3,Pittsburgh (ACC),29,1,0.967
5,Baylor (Big 12),25,1,0.962
6,Towson (CAA),28,2,0.933
7,South Dakota (Summit League),27,2,0.931
8,New Mexico St. (WAC),27,3,0.9
9,Rice (C-USA),26,3,0.897
10,Hawaii (Big West),24,3,0.889
11,Texas (Big 12),21,3,0.875
12,Nebraska (Big Ten),25,4,0.862
12,BYU (WCC),25,4,0.862
12,Florida (SEC),25,4,0.862
15,Stanford (Pac-12),24,4,0.857
15,Winthrop (Big South),24,4,0.857
15,Penn St. (Big Ten),24,4,0.857
18,Marquette (Big East),27,5,0.844
18,FGCU (ASUN),27,5,0.844
20,Robert Morris (NEC),25,5,0.833
21,Samford (SoCon),24,5,0.828
21,San Diego (WCC),24,5,0.828
21,Fairfield (MAAC),24,5,0.828
21,Washington (Pac-12),24,5,0.828
21,Creighton (Big East),24,5,0.828
21,Wright St. (Horizon),24,5,0.828
27,Minnesota (Big Ten),22,5,0.815
27,UC Santa Barbara (Big West),22,5,0.815
29,Milwaukee (Horizon),26,6,0.813
30,ETSU (SoCon),25,6,0.806
30,Cincinnati (AAC),25,6,0.806
32,Coastal Carolina (Sun Belt),24,6,0.8
32,VCU (Atlantic 10),24,6,0.8
32,Grand Canyon (WAC),24,6,0.8
35,Kentucky (SEC),23,6,0.793
36,Northern Colo. (Big Sky),26,7,0.788
37,Wisconsin (Big Ten),22,6,0.786
38,American (Patriot),24,7,0.774
38,UCF (AAC),24,7,0.774
40,Purdue (Big Ten),22,7,0.759
40,Colgate (Patriot),22,7,0.759
42,Weber St. (Big Sky),24,8,0.75
42,Texas St. (Sun Belt),24,8,0.75
42,Missouri (SEC),21,7,0.75
42,Texas A&M (SEC),21,7,0.75
46,Denver (Summit League),23,8,0.742
47,Cornell (Ivy League),17,6,0.739
48,Kennesaw St. (ASUN),22,8,0.733
48,Dayton (Atlantic 10),22,8,0.733
50,Wyoming (Mountain West),21,8,0.724
50,Central Mich. (MAC),21,8,0.724
50,Georgia Tech (ACC),21,8,0.724
53,Morehead St. (OVC),23,9,0.719
54,Cal Poly (Big West),20,8,0.714
54,James Madison (CAA),20,8,0.714
56,Utah (Pac-12),22,9,0.71
56,Troy (Sun Belt),22,9,0.71
56,Villanova (Big East),22,9,0.71
56,Washington St. (Pac-12),22,9,0.71
60,Princeton (Ivy League),17,7,0.708
61,UNI (MVC),24,10,0.706
62,Oklahoma (Big 12),19,8,0.704
63,Green Bay (Horizon),21,9,0.7
64,Southeast Mo. St. (OVC),23,10,0.697
65,Georgia (SEC),20,9,0.69
66,Army West Point (Patriot),22,10,0.688
67,Notre Dame (ACC),19,9,0.679
67,Florida St. (ACC),19,9,0.679
67,Louisville (ACC),19,9,0.679
70,Tulane (AAC),21,10,0.677
71,Illinois St. (MVC),22,11,0.667
71,St. John's (NY) (Big East),22,11,0.667
71,California (Pac-12),20,10,0.667
71,Michigan (Big Ten),20,10,0.667
71,Jacksonville St. (OVC),20,10,0.667
76,Northern Ariz. (Big Sky),21,11,0.656
76,Loyola Chicago (MVC),21,11,0.656
78,UNLV (Mountain West),19,10,0.655
79,New Hampshire (America East),17,9,0.654
80,Yale (Ivy League),15,8,0.652
81,Sacred Heart (NEC),20,11,0.645
81,Boston College (ACC),20,11,0.645
81,South Alabama (Sun Belt),20,11,0.645
81,Santa Clara (WCC),20,11,0.645
81,Ball St. (MAC),20,11,0.645
81,UIC (Horizon),20,11,0.645
87,Marshall (C-USA),18,10,0.643
87,SMU (AAC),18,10,0.643
89,South Carolina (SEC),19,11,0.633
89,Liberty (ASUN),19,11,0.633
89,East Carolina (AAC),19,11,0.633
89,Murray St. (OVC),19,11,0.633
93,Northwestern St. (Southland),20,12,0.625
93,High Point (Big South),20,12,0.625
93,Howard (MEAC),20,12,0.625
96,Boise St. (Mountain West),18,11,0.621
96,Pepperdine (WCC),18,11,0.621
96,UCLA (Pac-12),18,11,0.621
99,Albany (NY) (America East),16,10,0.615
100,Bowling Green (MAC),19,12,0.613
100,A&M-Corpus Christi (Southland),19,12,0.613
100,Northern Ky. (Horizon),19,12,0.613
103,North Texas (C-USA),17,11,0.607
103,Kansas City (WAC),17,11,0.607
103,Iowa St. (Big 12),17,11,0.607
103,Memphis (AAC),17,11,0.607
103,Miami (OH) (MAC),17,11,0.607
108,Fla. Atlantic (C-USA),16,11,0.593
109,Hofstra (CAA),17,12,0.586
109,Navy (Patriot),17,12,0.586
109,Saint Louis (Atlantic 10),17,12,0.586
109,UC Davis (Big West),17,12,0.586
113,Sam Houston St. (Southland),18,13,0.581
113,UT Arlington (Sun Belt),18,13,0.581
113,Ohio (MAC),18,13,0.581
116,Omaha (Summit League),19,14,0.576
117,Akron (MAC),16,12,0.571
118,Texas Tech (Big 12),17,13,0.567
118,Southern California (Pac-12),17,13,0.567
118,Nevada (Mountain West),17,13,0.567
118,Morgan St. (MEAC),17,13,0.567
118,Western Caro. (SoCon),17,13,0.567
118,Arkansas St. (Sun Belt),17,13,0.567
118,Campbell (Big South),17,13,0.567
125,Brown (Ivy League),13,10,0.565
126,Purdue Fort Wayne (Summit League),18,14,0.563
126,Alabama A&M (SWAC),18,14,0.563
128,Lipscomb (ASUN),16,13,0.552
128,Hartford (America East),16,13,0.552
128,Illinois (Big Ten),16,13,0.552
128,UTSA (C-USA),16,13,0.552
132,Arizona St. (Pac-12),17,14,0.548
133,North Carolina (ACC),15,13,0.536
133,La Salle (Atlantic 10),15,13,0.536
133,LSU (SEC),15,13,0.536
133,Tennessee (SEC),15,13,0.536
137,Central Ark. (Southland),16,14,0.533
137,N.C. A&T (MEAC),16,14,0.533
137,Evansville (MVC),16,14,0.533
140,Houston Baptist (Southland),17,15,0.531
141,Penn (Ivy League),11,10,0.524
