order,sex,previous,n
1,F,NA,341522
1,M,NA,358508
2,F,F,121801
2,M,F,126840
2,F,M,127123
2,M,M,135138
3,F,FF,18770
3,M,FF,19414
3,F,FM,16814
3,M,FM,18559
3,F,MF,17680
3,M,MF,18162
3,F,MM,21808
3,M,MM,23236
4,F,FFF,2039
4,M,FFF,2130
4,F,FFM,1741
4,M,FFM,1903
4,F,FMF,1738
4,M,FMF,1760
4,F,FMM,1839
4,M,FMM,1971
4,F,MFF,1826
4,M,MFF,1803
4,F,MFM,1715
4,M,MFM,1978
4,F,MMF,2010
4,M,MMF,1988
4,F,MMM,2455
4,M,MMM,2699
5,F,FFFF,218
5,M,FFFF,200
5,F,FFFM,169
5,M,FFFM,207
5,F,FFMF,158
5,M,FFMF,177
5,F,FFMM,183
5,M,FFMM,180
5,F,FMFF,159
5,M,FMFF,173
5,F,FMFM,133
5,M,FMFM,202
5,F,FMMF,166
5,M,FMMF,189
5,F,FMMM,168
5,M,FMMM,207
5,F,MFFF,183
5,M,MFFF,167
5,F,MFFM,174
5,M,MFFM,173
5,F,MFMF,154
5,M,MFMF,175
5,F,MFMM,167
5,M,MFMM,212
5,F,MMFF,188
5,M,MMFF,194
5,F,MMFM,191
5,M,MMFM,191
5,F,MMMF,220
5,M,MMMF,200
5,F,MMMM,259
5,M,MMMM,307
