County,Dollar General
Appling,4
Atkinson,2
Bacon,1
Baker,1
Baldwin,6
Banks,5
Barrow,8
Bartow,18
Ben Hill,2
Berrien,3
Bibb,18
Bleckley,1
Brantley,5
Brooks,3
Bryan,5
Bulloch,10
Burke,4
Butts,6
Calhoun,2
Camden,7
Candler,2
Carroll,20
Catoosa,4
Chatham,16
Chattahoochee,1
Chattooga,7
Cherokee,7
Clarke,9
Clay,1
Clayton,14
Clinch,1
Cobb,17
Coffee,10
Colquitt,9
Columbia,9
Cook,4
Coweta,12
Crawford,3
Crisp,4
Dade,2
Dawson,5
Decatur,6
Dekalb,22
Dodge,5
Dooly,3
Dougherty,16
Douglas,11
Early,3
Echols,1
Effingham,7
Elbert,4
Emanuel,4
Evans,3
Fannin,5
Fayette,5
Floyd,13
Forsyth,4
Franklin,7
Fulton,16
Gilmer,4
Glascock,1
Glynn,9
Gordon,13
Grady,5
Greene,2
Gwinnett,18
Habersham,8
Hall,16
Hancock,2
Haralson,5
Harris,7
Hart,3
Heard,2
Henry,20
Houston,15
Irwin,3
Jackson,9
Jasper,2
Jeff Davis,3
Jefferson,3
Jenkins,1
Johnson,2
Jones,3
Lamar,2
Lanier,1
Laurens,7
Lee,4
Liberty,8
Lincoln,2
Long,1
Lowndes,18
Lumpkin,4
Macon,4
Madison,7
Marion,2
Mcduffie,2
Mcintosh,3
Meriwether,6
Miller,1
Mitchell,4
Monroe,3
Montgomery,2
Morgan,2
Murray,9
Muscogee,16
Newton,11
Oconee,2
Oglethorpe,1
Paulding,7
Peach,5
Pickens,5
Pierce,4
Pike,6
Polk,6
Pulaski,2
Putnam,4
Quitman,1
Rabun,1
Randolph,1
Richmond,15
Rockdale,4
Schley,1
Screven,3
Seminole,3
Spalding,9
Stephens,4
Stewart,2
Sumter,5
Talbot,2
Taliaferro,1
Tattnall,6
Taylor,2
Telfair,4
Terrell,1
Thomas,11
Tift,10
Toombs,6
Towns,4
Treutlen,1
Troup,13
Turner,2
Twiggs,1
Union,6
Upson,5
Walker,13
Walton,13
Ware,6
Warren,1
Washington,5
Wayne,4
Webster,1
Wheeler,2
White,5
Whitfield,15
Wilcox,3
Wilkes,3
Wilkinson,4
Worth,3
