FIPS,State,County,Food Environment Index
13001,Georgia,Appling,7.3
13003,Georgia,Atkinson,7.2
13005,Georgia,Bacon,7.6
13007,Georgia,Baker,4.8
13009,Georgia,Baldwin,6.0
13011,Georgia,Banks,8.7
13013,Georgia,Barrow,8.4
13015,Georgia,Bartow,7.3
13017,Georgia,Ben Hill,5.6
13019,Georgia,Berrien,7.1
13021,Georgia,Bibb,5.7
13023,Georgia,Bleckley,7.2
13025,Georgia,Brantley,8.0
13027,Georgia,Brooks,7.3
13029,Georgia,Bryan,8.0
13031,Georgia,Bulloch,6.8
13033,Georgia,Burke,6.3
13035,Georgia,Butts,7.4
13037,Georgia,Calhoun,6.0
13039,Georgia,Camden,7.1
13043,Georgia,Candler,7.2
13045,Georgia,Carroll,7.1
13047,Georgia,Catoosa,7.9
13049,Georgia,Charlton,7.1
13051,Georgia,Chatham,6.9
13053,Georgia,Chattahoochee,4.4
13055,Georgia,Chattooga,7.7
13057,Georgia,Cherokee,8.7
13059,Georgia,Clarke,5.0
13061,Georgia,Clay,0.5
13063,Georgia,Clayton,5.2
13065,Georgia,Clinch,6.4
13067,Georgia,Cobb,7.7
13069,Georgia,Coffee,7.1
13071,Georgia,Colquitt,7.1
13073,Georgia,Columbia,8.7
13075,Georgia,Cook,7.1
13077,Georgia,Coweta,8.1
13079,Georgia,Crawford,8.0
13081,Georgia,Crisp,6.2
13083,Georgia,Dade,8.4
13085,Georgia,Dawson,9.1
13087,Georgia,Decatur,6.6
13089,Georgia,DeKalb,6.5
13091,Georgia,Dodge,7.3
13093,Georgia,Dooly,7.1
13095,Georgia,Dougherty,3.9
13097,Georgia,Douglas,6.7
13099,Georgia,Early,6.3
13101,Georgia,Echols,8.3
13103,Georgia,Effingham,8.5
13105,Georgia,Elbert,6.4
13107,Georgia,Emanuel,5.8
13109,Georgia,Evans,7.4
13111,Georgia,Fannin,8.6
13113,Georgia,Fayette,8.6
13115,Georgia,Floyd,7.4
13117,Georgia,Forsyth,9.4
13119,Georgia,Franklin,7.9
13121,Georgia,Fulton,6.9
13123,Georgia,Gilmer,8.4
13125,Georgia,Glascock,6.2
13127,Georgia,Glynn,6.9
13129,Georgia,Gordon,7.9
13131,Georgia,Grady,7.0
13133,Georgia,Greene,7.5
13135,Georgia,Gwinnett,8.0
13137,Georgia,Habersham,8.0
13139,Georgia,Hall,8.3
13141,Georgia,Hancock,5.0
13143,Georgia,Haralson,8.2
13145,Georgia,Harris,9.0
13147,Georgia,Hart,7.6
13149,Georgia,Heard,8.0
13151,Georgia,Henry,7.3
13153,Georgia,Houston,6.9
13155,Georgia,Irwin,7.1
13157,Georgia,Jackson,8.9
13159,Georgia,Jasper,7.2
13161,Georgia,Jeff Davis,7.7
13163,Georgia,Jefferson,6.5
13165,Georgia,Jenkins,6.8
13167,Georgia,Johnson,7.3
13169,Georgia,Jones,8.1
13171,Georgia,Lamar,7.3
13173,Georgia,Lanier,7.1
13175,Georgia,Laurens,6.5
13177,Georgia,Lee,8.3
13179,Georgia,Liberty,5.5
13181,Georgia,Lincoln,7.3
13183,Georgia,Long,7.7
13185,Georgia,Lowndes,6.2
13187,Georgia,Lumpkin,8.3
13189,Georgia,McDuffie,6.6
13191,Georgia,McIntosh,7.4
13193,Georgia,Macon,5.6
13195,Georgia,Madison,8.4
13197,Georgia,Marion,7.4
13199,Georgia,Meriwether,7.1
13201,Georgia,Miller,7.4
13205,Georgia,Mitchell,6.1
13207,Georgia,Monroe,8.0
13209,Georgia,Montgomery,7.2
13211,Georgia,Morgan,7.8
13213,Georgia,Murray,8.0
13215,Georgia,Muscogee,6.0
13217,Georgia,Newton,6.7
13219,Georgia,Oconee,8.9
13221,Georgia,Oglethorpe,8.2
13223,Georgia,Paulding,8.2
13225,Georgia,Peach,6.8
13227,Georgia,Pickens,9.0
13229,Georgia,Pierce,7.8
13231,Georgia,Pike,8.8
13233,Georgia,Polk,7.8
13235,Georgia,Pulaski,7.0
13237,Georgia,Putnam,8.0
13239,Georgia,Quitman,5.2
13241,Georgia,Rabun,8.5
13243,Georgia,Randolph,4.6
13245,Georgia,Richmond,5.1
13247,Georgia,Rockdale,6.4
13249,Georgia,Schley,7.6
13251,Georgia,Screven,6.4
13253,Georgia,Seminole,7.0
13255,Georgia,Spalding,6.8
13257,Georgia,Stephens,7.6
13259,Georgia,Stewart,6.1
13261,Georgia,Sumter,5.3
13263,Georgia,Talbot,6.2
13265,Georgia,Taliaferro,2.7
13267,Georgia,Tattnall,7.6
13269,Georgia,Taylor,6.5
13271,Georgia,Telfair,6.8
13273,Georgia,Terrell,5.7
13275,Georgia,Thomas,6.2
13277,Georgia,Tift,7.0
13279,Georgia,Toombs,6.7
13281,Georgia,Towns,8.6
13283,Georgia,Treutlen,7.4
13285,Georgia,Troup,6.8
13287,Georgia,Turner,6.8
13289,Georgia,Twiggs,6.9
13291,Georgia,Union,8.9
13293,Georgia,Upson,6.2
13295,Georgia,Walker,7.4
13297,Georgia,Walton,8.1
13299,Georgia,Ware,5.9
13301,Georgia,Warren,6.5
13303,Georgia,Washington,5.7
13305,Georgia,Wayne,6.4
13307,Georgia,Webster,7.1
13309,Georgia,Wheeler,6.3
13311,Georgia,White,
13313,Georgia,Whitfield,8.1
13315,Georgia,Wilcox,7.5
13317,Georgia,Wilkes,6.1
13319,Georgia,Wilkinson,6.5
13321,Georgia,Worth,7.3
