winter,year1,periods,days,first_freeze,last_thaw,oct31,mar1,ff_days_after_oct31,lt_days_after_mar01,decade
1852-1853,1852,1,NA,NA,1853-04-05,1852-10-31,1853-03-01,NA,35,1850
1853-1854,1853,1,NA,1853-12-27,NA,1853-10-31,1854-03-01,57,NA,1850
1854-1855,1854,1,NA,NA,NA,1854-10-31,1855-03-01,NA,NA,1850
1855-1856,1855,1,118,1855-12-18,1856-04-14,1855-10-31,1856-03-01,48,44,1850
1856-1857,1856,1,151,1856-12-06,1857-05-06,1856-10-31,1857-03-01,36,66,1850
1857-1858,1857,1,121,1857-11-25,1858-03-26,1857-10-31,1858-03-01,25,25,1850
1858-1859,1858,1,96,1858-12-08,1859-03-14,1858-10-31,1859-03-01,38,13,1850
1859-1860,1859,1,110,1859-12-07,1860-03-26,1859-10-31,1860-03-01,37,25,1850
1860-1861,1860,1,117,1860-12-14,1861-04-10,1860-10-31,1861-03-01,44,40,1850
1861-1862,1861,1,132,1861-12-02,1862-04-13,1861-10-31,1862-03-01,32,43,1860
1862-1863,1862,1,104,1862-12-26,1863-04-09,1862-10-31,1863-03-01,56,39,1860
1863-1864,1863,1,125,1863-12-18,1864-04-21,1863-10-31,1864-03-01,48,51,1860
1864-1865,1864,1,118,1864-12-08,1865-04-05,1864-10-31,1865-03-01,38,35,1860
1865-1866,1865,1,125,1865-12-14,1866-04-18,1865-10-31,1866-03-01,44,48,1860
1866-1867,1866,1,123,1866-12-18,1867-04-20,1866-10-31,1867-03-01,48,50,1860
1867-1868,1867,1,110,1867-12-12,1868-03-31,1867-10-31,1868-03-01,42,30,1860
1868-1869,1868,1,127,1868-12-10,1869-04-16,1868-10-31,1869-03-01,40,46,1860
1869-1870,1869,1,131,1869-12-02,1870-04-12,1869-10-31,1870-03-01,32,42,1860
1870-1871,1870,1,99,1870-12-24,1871-04-02,1870-10-31,1871-03-01,54,32,1860
1871-1872,1871,1,126,1871-12-19,1872-04-23,1871-10-31,1872-03-01,49,53,1870
1872-1873,1872,1,144,1872-11-30,1873-04-23,1872-10-31,1873-03-01,30,53,1870
1873-1874,1873,1,136,1873-11-29,1874-04-14,1873-10-31,1874-03-01,29,44,1870
1874-1875,1874,1,126,1874-12-10,1875-04-15,1874-10-31,1875-03-01,40,45,1870
1875-1876,1875,1,91,1876-01-10,1876-04-10,1875-10-31,1876-03-01,71,40,1870
1876-1877,1876,1,130,1876-12-08,1877-04-17,1876-10-31,1877-03-01,38,47,1870
1877-1878,1877,1,62,1878-01-06,1878-03-09,1877-10-31,1878-03-01,67,8,1870
1878-1879,1878,1,112,1878-12-21,1879-04-12,1878-10-31,1879-03-01,51,42,1870
1879-1880,1879,1,99,1879-12-17,1880-03-25,1879-10-31,1880-03-01,47,24,1870
1880-1881,1880,1,161,1880-11-23,1881-05-03,1880-10-31,1881-03-01,23,63,1870
